Title#0,"""T: Испытание Некки!"""
Explanation#0,"""アークスのみんな！<br>ボクの挑戦を受けてみないかい？<br>ＶＲ空間に再現した惑星リリーパ採掘基地。<br>その全拠点を迫り来る他惑星のエネミーから<br>守りきるっていう、特別なクエストさ！<br>A.I.Sは使用禁止、他にもいろいろ制限アリの<br>ハードなクエスト、乗り越えられるかな！<br>――――――――――――――――――――<br>Зачищено 6 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите горнодобывающую базу!"""
Wave1_Talk#0,"""エネミーが現れるよ！<br>マップで状況を確認しながら<br>拠点を守っていってね！"""
Wave2_Talk#0,"""ソルザ・ブラーダに侵食された<br>防衛ソケットは使えなくなっちゃうよ！<br>そうなる前に倒しきれるかな！"""
Wave3_Talk#0,"""A.I.Sエクソーダやダーカー粒子砲台も<br>そろそろ出番が来そうだね！<br>迎え撃つ準備ができてるかな？"""
Wave4_Talk#0,"""強力なエネミーが現れるよ！<br>拠点防衛のため、侵攻するエネミーを<br>全て殲滅してね！"""
Wave5_Talk#0,"""ゼータ・グランゾを見かけたら<br>優先的に倒したほうがいいよ！<br>最後まで放っておくと大変だからね！"""
Wave6_Talk#0,"""さあ、最後の戦いだよ！<br>キミたちにこの攻撃がしのげるかな？"""
Wave1_Talk_Cool#0,"""さあ！\u3000クエストの始まりだよ！<br>迫るエネミーから、拠点を守ってね！"""
Wave2_Talk_Cool#0,"""なかなかやるね！<br>でも、次のウェーブはもっと大変だよ！<br>ソケットの守りは、大丈夫？"""
Wave3_Talk_Cool#0,"""正結晶を集めると、拠点の端末や<br>防衛ソケットの機能が使えるよ。<br>いっぱい集めて有効活用してね！"""
Wave4_Talk_Cool#0,"""次のウェーブで出てくるエネミーたちは<br>今までとちょっと動きが違うよ！<br>どこの拠点を攻めてくるかわかるかな？"""
Wave5_Talk_Cool#0,"""そろそろボクも本気で行くよ！<br>とっておきのあのエネミーたちを<br>出しちゃうからね！"""
Wave6_Talk_Cool#0,"""次が最後のウェーブだよ！<br>ここからは総力戦だから<br>しっかり準備をしておいてね！"""
NpcCom00#0,"""NPC通信：クールタイム開始Type9"""
NpcCom01#0,"""今回の勝負はボクの勝ちだね！<br>またの挑戦を待ってるよ！"""
NpcCom02#0,"""今回の勝負はボクの完敗だよ！<br>信じられないぐらい強いんだね！"""
NpcCom03#0,"""今回の勝負はボクの負けだよ！<br>次の挑戦ではリベンジするからね！"""
NpcCom04#0,"""この勝負はボクの負けかな？<br>でも、次は必ず勝つからね！"""
NpcCom05#0,"""もう少しでボクの勝ちだったのに……<br>次こそは、勝たせてもらうからね！"""
NpcCom06#0,"""さあ、強力なエネミーの登場だよ！<br>しっかりと拠点を守り切れるかな？"""
NpcCom07#0,"""$(0)拠点の耐久値が減ってるね！<br>注意した方がいいんじゃないかな？"""
NpcCom08#0,"""$(0)拠点が壊れそうだよ！<br>しっかり守ってみせてよね！"""
NpcCom09#0,"""これから来るエネミーは<br>性能が強化されているよ！<br>拠点を守り切れるかな？"""
NpcCom10#0,"""休んでるひまはないよ！<br>まだまだエネミーが来るからね！"""
NpcCom11#0,"""エネミーの数は残りわずか……<br>でも、ここからが勝負だよ！"""
NpcCom12#0,"""エネミーの最後の攻撃だね！<br>対処しないと拠点が破壊されちゃうよ！"""
NpcCom12_Wave05#0,"""エネミーの最後の攻撃だね！<br>対処しないと拠点が破壊されちゃうよ！"""
NpcCom12_Last#0,"""お見事！<br>これでボクからの挑戦はおしまいだよ！"""
NpcCom13#0,"""残る拠点は一つだよ！<br>キミたちに守り切れるかな？"""
NpcCom14#0,"""残る拠点は二つだよ！<br>みんなで分担して守り切ってね！"""
NpcCom15#0,"""NPC通信：拠点破壊時に残り拠点が３つType9"""
NpcCom16#0,"""NPC通信：拠点破壊時に残り拠点が4つType9"""
barricade0#0,"""NPC通信：第一防衛ラインバリケード破壊時Type9"""
barricade1#0,"""NPC通信：第二防衛ラインバリケード破壊時Type9"""
barricade2#0,"""NPC通信：最終防衛ラインバリケード破壊時Type9"""
NpcComMsg1_Meritta#0,"""まもなく転送開始ですよー！<br>地中探査艇でダークファルス【若人】の<br>もとへ向かってくださいっ！"""
NpcComMsg2_Meritta#0,"""あとあとっ、新型フォトン粒子砲は<br>エネルギータンクが要です！<br>破壊されないように、守ってください！"""
NpcComMsg1#0,"""ボクの挑戦を受けてくれてありがとう！<br>これから始まるのは<br>ＶＲで再現した防衛戦だよ！"""
NpcComMsg2#0,"""ボクの選んだエネミーたちが<br>３つの拠点に向かって侵攻するよ！"""
NpcComMsg3#0,"""全６ウェーブが終わったときに<br>拠点が無事なら、みんなの勝ち！<br>最後まで諦めずに、頑張ってね！"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
