Title#0,"""T: Защита базы: Наступление"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>多数のダーカーの反応を確認した。<br>複数回に渡っての攻勢を<br>仕掛けてくるつもりだろう。<br>基地の防衛を最優先事項とし<br>攻撃が止むまで拠点を死守せよ。<br>――――――――――――――――――――<br>Зачищено 6 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите горнодобывающую базу!"""
Wave1_Talk#0,"""Даркеры появились! Не ясно<br>какую базу они будут атаковать.<br>Работайте слажено,<br>чтобы защитить базы!"""
Wave2_Talk#0,"""Вот и следующая атака Даркеров!<br>Ребята, работайте слажено,<br>чтобы защитить базы!"""
Wave3_Talk#0,"""Не-неопознаные показания!<br>Я думаю, что даркеры начали<br>возводить большие пушки!<br>Найдите их и уничтожьте!"""
Wave4_Talk#0,"""Уааа, что за невероятные<br>показания! Похоже что враги<br>усилились! Пожалуйста,<br>будьте осторожны!"""
Wave5_Talk#0,"""Уааа, что за невероятные<br>показания! Скоро объявится<br>огромный даркер!"""
Wave6_Talk#0,"""Это, кажется, последняя.<br>Ещё немного!<br>Продолжайте защищать базы!"""
NpcComMsg1#0,"""Мы скоро начнём! Основываясь<br>на этих показаниях скорее всего<br>даркеры будут атаковать<br>в несколько волн.<br>Будьте осторожны!"""
NpcComMsg2#0,"""Вы сможете укрепить защиту,<br>используя энергию выпавших<br>кристалов. Удачи!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
