st_058060_0010#0,"""魔物群像海嘯一樣蜂擁而至<br>昆特國軍用决死的魔法障壁防禦。"""
st_058060_0020#0,"""但是、敵人的氣勢絲毫不減<br>其數量也在無盡地增加。"""
st_058060_0030#0,"""不斷絕根源、就沒有勝利。<br>守護輝士和、剣之巫女阿麗莎一起<br>站在戰鬥的前列。"""
st_058060_0040#0,"""……反応、數量約十万。<br>而且還在持續增加。"""
st_058060_0050#0,"""雖然用魔法障壁勉強撐過<br>但不久也會被超越的吧。<br>那樣的話……一切就結束了。"""
st_058060_0060#0,"""再往前、就是真正的、魔物巢穴了。<br>但是如果不跨越這裡<br>就無法到達那個繭。"""
st_058060_0070#0,"""準備好了嗎、守護輝士。"""
st_058060_0080#0,"""沒問題"""
st_058060_0090#0,"""你才是"""
st_058060_0100#0,"""……那麼、我來打頭陣。<br>劍之巫女的力量、現在就在此。"""
st_058060_0110#0,"""啊啊啊啊啊啊啊啊！"""
st_058060_0120#0,"""就是現在！"""
st_058060_0130#0,"""不要阻攔我！"""
st_058060_0140#0,"""突破！"""
st_058060_0150#0,"""當然！<br>剣啊、現在正是決戰的時刻！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
