Skit01_000#0,"""招待報酬"""
Skit01_010#0,"""お友達招待を受けた記念品<br>アークスバッヂ白をお渡しします。"""
Skit01_011#0,"""アークスバッヂ白は<br>レベル１０以上になると<br>素敵な報酬と交換できます。"""
Skit01_012#0,"""まずはレベル１０を目指して<br>頑張ってくださいね。"""
Skit01_020#0,"""報酬は一定レベルごとに受け取れます。"""
Skit01_021#0,"""レベルを上げて来てください。"""
Skit01_030#0,"""これ以上報酬はありません。"""
Skit01_040#0,"""友達招待されていません。"""
Skit02_000#0,"""やめる"""
Skit02_001#0,"""レベル10到達報酬と交換"""
Skit02_002#0,"""レベル20到達報酬と交換"""
Skit02_003#0,"""レベル30到達報酬と交換"""
Skit02_004#0,"""レベル40到達報酬と交換"""
Skit02_005#0,"""レベル50到達報酬と交換"""
