name_7196#0,"""ダチュア"""
ssn_005120_0001#0,"""新人の子ね。<br>グイーデンから、アークスの基礎を教わっているようね。"""
ssn_005120_0002#0,"""もう少し腕を磨いたら、また来なさい。"""
ssn_005120_0101#0,"""私はダチュア。<br>ファイター教導官を務めている。"""
ssn_005120_0102#0,"""ファイターについて、手ほどきを受けたいの？"""
ssn_005120_0151#0,"""あら、あなたファイターではないわね。"""
ssn_005120_0152#0,"""訓練したければ”クラスカウンター”で<br>クラスをファイターにしてきて。"""
ssn_005120_0153#0,"""それと、ファイターのクラススキルを習得しておいくのを忘れないように。"""
ssn_005120_0301#0,"""指導を受けたくなったら、また来なさい。"""
ssn_005120_0103#0,"""ファイターは至近距離での戦闘に長けたクラスよ。<br>特徴的なのは、なんといっても高い打撃力。"""
ssn_005120_0104#0,"""攻撃のアクションも多彩。<br>派手に拳をぶち込んでやりなさい。"""
ssn_005120_0105#0,"""一方で、攻撃範囲は狭く短い。<br>上手く敵の懐に入り込むことが重要よ。"""
ssn_005120_0106#0,"""そしてクラススキルを使えば、より効果的に打撃を与えることができる。<br>オススメは……“リミットブレイク”。"""
ssn_005120_0107#0,"""まあ、習うより慣れろよ。<br>課題を出すから、やってみなさい。"""
ssn_005120_0201#0,"""どう、手応えはあったかしら？"""
ssn_005120_0202#0,"""訓練してわかったと思うけど、<br>やはりクラススキルが重要になってくるわ。"""
ssn_005120_0203#0,"""スキルは、覚えただけでは無意味。<br>上手く使いこなせるようになりなさい。"""
