text01001#0,"""สวัสดีจ้า!<br>เธอเป็น ARKS สินะ?"""
11_voice_NPC_5081_100#0,"""อืม อื้มๆ ผ่าน!"""
text01003#0,"""อ๊ะ ขอโทษๆ<br>ชั้นชื่อ Shea"""
text01004#0,"""คือชั้นมีเรื่องอยากจะขอแรงเธอหน่อยน่ะ<br>ช่วยฟังชั้นซักนิดนึงจะได้มั้ย?"""
11_voice_NPC_5081_104#0,"""ว่าไง ไปถึงไหนแล้ว?<br>ไม่ว่าเมื่อไหร่ก็จะรอน้า!"""
text03001#0,"""ขอบคุณที่เหนื่อยนะ!<br>ขอบคุณมากๆ เลยที่ช่วยเป็นที่<br>ปรึกษาให้กับชั้นตั้งเยอะแยะ!"""
11_voice_NPC_5081_101#0,"""สามารถตอบแทนได้ด้วยความจริงใจ<br>ทำให้ทุกคนมีแต่รอยยิ้มแล้วก็รอยยิ้ม!<br>ดีจังเลย ดีจังเลย!"""
text03003#0,"""ทั้งนี้ทั้งนั้นก็เป็นเพราะเธอแท้ๆ เลย!<br>ขอบคุณมากจริงๆ นะ!"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
11_voice_NPC_5081_100#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
11_voice_NPC_5081_104#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""おつかれさまっ！<br>たっくさんの相談にのってくれて<br>本当にありがとうっ！"""
11_voice_NPC_5081_101#1,"""心のこもったお返しができて<br>みーんな笑顔笑顔だよ！<br>よかった、よかった！"""
text03003#1,"""それもこれも、貴方のおかげ！<br>ほんっとーにありがとね！"""
11_voice_NPC_5081_100#2,"""White Day เนี่ย ชั้นควรจะต้องให้ของ<br>ตอบแทนคืนแบบไหนดีน้า กลุ้มใจจัง!"""
11_voice_NPC_5081_100#3,"""ホワイトデー、どんなお返しを<br>あげるかって悩むよねっ！"""
11_voice_NPC_5081_100#4,"""ตอบแทนด้วยความจริงใจ!<br>White Day ก็คือวันแบบนั้นล่ะ<br>ทุกคนคิดจริงจังกันจริงๆ นะ!"""
text02022#0,"""เพราะฉะนั้นขอร้องล่ะ!<br>ชั้นจำเป็นต้องมีความร่วมมือของเธอ!"""
11_voice_NPC_5081_100#5,"""心のこもったお返しを！<br>ホワイトデーってそういうものだから<br>みんなやっぱり本気だよ！"""
text02022#1,"""だからおねがいっ！<br>貴方の協力が必要なのっ！"""
