name01#0,"""Oza"""
name02#0,"""Marlu"""
name03#0,"""Risa"""
name04#0,"""Afin"""
name05#0,"""Pati"""
name06#0,"""Tia"""
name07#0,"""Sarah"""
name01#1,"""オーザ"""
name02#1,"""マールー"""
name03#1,"""リサ"""
name04#1,"""アフィン"""
name05#1,"""パティ"""
name06#1,"""ティア"""
name07#1,"""サラ"""
skit01#0,"""ชิ คราวนี้เป็นกับดักจับเราขังงั้นเรอะ !<br>ไม่เป็นไร อยากลองของนักก็เข้ามาเลย !"""
skit02#0,"""......โดนขังซะแล้ว<br>แต่ว่าถ้ากำจัดได้ก่อนที่รั้วจะเปิด<br>ก็คงไม่มีปัญหา คิดว่านะ"""
skit03#0,"""อ้าว? นี่เราโดนขังงั้นเหรอ?<br>ได้เลยสถานการณ์แบบนี้......<br>ยิ่งทำให้รู้สึกขึ้นไปใหญ่เลย"""
skit04#0,"""ไอหยาโดนขังซะแล้ว?<br>ไม่ชอบเลยจริงๆ<br>เวลาต้องสู้ในที่แคบๆเนี่ย"""
skit05#0,"""สำเร็จขังพวกศัตรูเอาไว้<br>ได้สำเร็จแล้ว !<br>คราวนี้ล่ะ จะเล่นให้หมดทุกตัวเลย !"""
skit06#0,"""พวกเราเองก็ถูกขังเหมือนกัน......<br>ระวังอย่าให้ถูกเล่นกันหมด<br>ซะเองแล้วกันนะ"""
skit07#0,"""......ถูกขังเอาไว้แบบนี้<br>แปลว่าให้ตะลุมบอนกันเลยสินะ?<br>หึ กำลังต้องการอยู่พอดี"""
skit01#1,"""ちっ、今度は閉じ込めの仕掛けか！<br>フェンスが開く前に倒せば問題ない！"""
skit02#1,"""……閉じ込められちゃった。<br>でも、フェンスが開く前に倒せば<br>なにも問題ない、はず。"""
skit03#1,"""あら？\u3000閉じ込められましたかあ？<br>いいですねえ、この状況……<br>楽しく楽しくやれそうですよお。"""
skit04#1,"""あっちゃあ、閉じ込められたか？<br>せまいところで戦うの<br>あんまり好きじゃないんだけどな。"""
skit05#1,"""よーっし、敵さんを閉じ込めることに<br>成功したよー！<br>これで一網打尽！"""
skit06#1,"""私達も閉じ込められてるけど……<br>一網打尽にされないように<br>気をつけないと。"""
skit07#1,"""……閉じ込める、ってことは<br>とことんやれ、ってことかしら？<br>ふん、望むところよ。"""
skit01#2,"""/ci2 2 ชิ คราวนี้เป็นกับดักจับเราขังงั้นเรอะ !<br>ไม่เป็นไร อยากลองของนักก็เข้ามาเลย !"""
skit02#2,"""/ci2 2 ......โดนขังซะแล้วนะ<br>แต่ว่าถ้ากำจัดได้ก่อนที่รั้วจะเปิด<br>ก็คงไม่มีปัญหา คิดว่านะ"""
skit03#2,"""/ci2 2 อ้าว? นี่เราโดนขังงั้นเหรอ?<br>ได้เลยสถานการณ์แบบนี้......<br>ยิ่งทำให้รู้สึกขึ้นไปใหญ่เลย"""
skit04#2,"""/ci2 2 ไอหยาโดนขังซะแล้ว?<br>ไม่ชอบเลยจริงๆ<br>เวลาต้องสู้ในที่แคบๆเนี่ย"""
skit05#2,"""/ci2 2 สำเร็จขังพวกศัตรูเอาไว้<br>ได้สำเร็จแล้วค่า !<br>คราวนี้ล่ะจะเล่นให้หมดทุกตัวเลย !"""
skit06#2,"""/ci2 2 พวกเราเองก็ถูกขังเหมือนกัน......<br>ระวังอย่าให้ถูกเล่นกันหมด<br>ซะเองแล้วกันนะ"""
skit07#2,"""/ci2 2 ......ถูกขังเอาไว้แบบนี้<br>แปลว่าให้ตะลุมบอนกันเลยสินะ?<br>หึ กำลังต้องการอยู่พอดี"""
skit01#3,"""/ci2 2 ちっ、今度は閉じ込めの仕掛けか！<br>フェンスが開く前に倒せば問題ない！"""
skit02#3,"""/ci2 2 ……閉じ込められちゃった。<br>でも、フェンスが開く前に倒せば<br>なにも問題ない、はず。"""
skit03#3,"""/ci2 2 あら？\u3000閉じ込められましたかあ？<br>いいですねえ、この状況……<br>楽しく楽しくやれそうですよお。"""
skit04#3,"""/ci2 2 あっちゃあ、閉じ込められたか？<br>せまいところで戦うの<br>あんまり好きじゃないんだけどな。"""
skit05#3,"""/ci2 2 よーっし、敵さんを閉じ込めることに<br>成功したよー！<br>これで一網打尽！"""
skit06#3,"""/ci2 2 私達も閉じ込められてるけど……<br>一網打尽にされないように<br>気をつけないと。"""
skit07#3,"""/ci2 2 ……閉じ込める、ってことは<br>とことんやれ、ってことかしら？<br>ふん、望むところよ。"""
