msc_023140_0010#0,"""……誰か！<br>聞こえますか!?"""
msc_023140_0020#0,"""こちら、エアリオ訓練隊第１班！"""
msc_023140_0030#0,"""アイナ!?"""
msc_023140_0040#0,"""無事だったんだね！"""
msc_023140_0050#0,"""え!?<br><%me>なの!?"""
msc_023140_0060#0,"""その声は……！<br>来てくれたの!?"""
msc_023140_0070#0,"""聞いて！<br>こっちは全員無事。"""
msc_023140_0080#0,"""でも、エネミーに包囲されてて、<br>身動きがとれないの。"""
msc_023140_0090#0,"""ガヤ：アイナ隊モブアークス①"""
msc_023140_0100#0,"""た、ただ、リテムまで歩いて行くだけ……。"""
msc_023140_0110#0,"""安全な道のはずじゃ、なかったのかよ！"""
msc_023140_0120#0,"""もとはといえば、<br>アンタがあの敵に攻撃なんてするから……。"""
msc_023140_0130#0,"""だって！<br>あんな強いなんて、思わないだろ！"""
msc_023140_0140#0,"""訓練じゃ、うまくできたのに……。"""
msc_023140_0150#0,"""ガヤ：アイナ隊モブアークス②"""
msc_023140_0160#0,"""……うぅ。"""
msc_023140_0170#0,"""大丈夫だよ。"""
msc_023140_0180#0,"""みんな、ちゃんとエアリオに帰れる。"""
msc_023140_0190#0,"""あたしは、今までたくさんの戦いを経験してきた。"""
msc_023140_0200#0,"""クロフォードや、ブルーダーほどじゃ、<br>全然ないけどね……。"""
msc_023140_0210#0,"""それで、学んだの。"""
msc_023140_0220#0,"""どんなに、困難な状況でも、<br>乗り越えられる方法があるって。"""
msc_023140_0230#0,"""……それは、<br>なん……なんですか？"""
msc_023140_0240#0,"""アークスひとりひとりの力。"""
msc_023140_0250#0,"""それを結集させる。"""
msc_023140_0260#0,"""仲間を信じて、気持ちをひとつにすれば、<br>必ず突破口が見える。"""
msc_023140_0270#0,"""アイナ教官……。"""
msc_023140_0280#0,"""さあ！<br>武器をとって！"""
msc_023140_0290#0,"""すっごく強い味方が、<br>助けにきてくれる。"""
msc_023140_0300#0,"""それまで、極力交戦は避けたいけど、<br>敵に見つかったら迎え撃つよ。"""
msc_023140_0310#0,"""大丈夫。<br>教えたことを、思い出してみて。"""
msc_023140_0320#0,"""それを、しっかり実践できれば、<br>絶対うまくいく。"""
msc_023140_0330#0,"""は、はい！"""
msc_023140_0340#0,"""一緒に訓練してきた<br>絆の力を信じて！"""
msc_023140_0350#0,"""絆の……力。"""
msc_023140_0360#0,"""ガヤ：アイナ隊モブアークス③"""
msc_023140_0370#0,"""<%me>、聴こえるよね。"""
msc_023140_0380#0,"""こっちはできる限り、<br>頑張ってみる。"""
msc_023140_0390#0,"""だから……お願い！<br>早く助けに来て！"""
msc_023140_0400#0,"""すぐに行く！"""
msc_023140_0410#0,"""待ってて！"""
msc_023140_0420#0,"""うん！\u3000待ってる！"""
