name01#0,"""Support Partner"""
name02#0,"""Uruk"""
name01#1,"""サポートパートナー"""
name02#1,"""ウルク"""
skit01#0,"""/ci4 3 จากนี้...<br>ชั้นจะทำยังไงต่อไปดี..."""
skit02#0,"""/ci1 1 ...เธอเป็นคนไม่ค่อยสู้คนอยู่แล้ว<br>พวกเราคงต้องคอยปกป้องเค้าแล้วล่ะ"""
skit01#1,"""/ci4 3 わたし……<br>これからどうすれば……"""
skit02#1,"""/ci1 1 ……彼女は元々戦えない子だ。<br>ぼくたちで守ってあげないと<br>いけないよ。"""
skit01#2,"""จากนี้...<br>ชั้นจะทำยังไงต่อไปดี..."""
skit02#2,"""...เค้าเป็นคนไม่สู้คนมาแต่ไหนแต่ไรแล้ว<br>พวกเราคงต้องคอยปกป้องแล้วล่ะ"""
skit01#3,"""わたし……<br>これからどうすれば……"""
skit02#3,"""……彼女は元々戦えない子だ。<br>ぼくたちで守ってあげないと<br>いけないよ。"""
