text01#0,"""辛苦了。<br>不愧是周遭期許的對象，<br>基礎非常紮實。"""
text02#0,"""但就我來看，這種程度的人<br>路上比比皆是。但真正能夠<br>成長與否，那是另外的問題。"""
text03#0,"""話說回來，我感覺<br>你還會繼續成長。"""
text04#0,"""對了，技能中的即時防禦<br>有沒有好好運用呢？"""
11_voice_NPC_5054_100#0,"""若是要當獵人活下去，<br>學起來不會吃虧的。<br>那麼，再會了！"""
text100#0,"""關於『完美防禦』"""
text101#0,"""說明一下技能『即時防禦』。"""
text102#0,"""即時防禦是一種透過技能取得的能力。"""
text103#0,"""進行格擋時，通常<br>通常會受到輕微的傷害。"""
text104#0,"""但是，如果取得即時防禦的技能，<br>在受到敵人的攻擊之前，看準時機執行『防禦』，<br>就會發動『即時防禦』，且傷害值為0。<br>即時防禦不需要消耗PP。<br><br>進一步而言，更可以透過這個技能對敵人進行反擊。<br>在近距離戰鬥時，這是一個很優秀的技能"""
text01#1,"""ご苦労だった。<br>期待を集めるだけあって<br>基礎はしっかりしているな。"""
text02#1,"""だが私に言わせれば、その程度なら<br>掃いて捨てるほどいる。本当に<br>伸びるかどうかはまったく別の問題だ。"""
text03#1,"""とはいえ君はまだまだ<br>伸びそうな気がする。"""
text04#1,"""ところで、スキルのジャストガードは<br>活用しているかな？"""
11_voice_NPC_5054_100#1,"""ハンターとして生きていくなら<br>習得して損はない。<br>では、また会おう！"""
text100#1,"""『ジャストガード』について"""
text101#1,"""スキル『ジャストガード』について説明します。"""
text102#1,"""ジャストガードとは、スキルで取得できる能力の１つです。"""
text103#1,"""ガードを行うと通常は<br>軽微なダメージを受けてしまいます。"""
text104#1,"""しかし、ジャストガードのスキルを取得していれば<br>敵からの攻撃を受ける直前に、タイミングよく『ガード』を行うことで<br>『ジャストガード』が発生し、ダメージを０にすることができます。<br>ジャストガードは、ＰＰの消費もなく使えます。<br><br>さらに、敵にガードアーツによる反撃ダメージを与えることができる<br>近接戦闘において、優秀なスキルです。"""
