msc_027050_0010#0,"""……すごいよねぇ。<br>どこまでも建物が続いてる。"""
msc_027050_0020#0,"""このひとつひとつに、<br>ヒトが住んでたってことだよね？"""
msc_027050_0030#0,"""……ええ。"""
msc_027050_0040#0,"""ここは、どういう場所だったんだろう？"""
msc_027050_0050#0,"""リサージェントアークスの、<br>かつての活動拠点です。"""
msc_027050_0060#0,"""ここは、そのなかで最大の居住区画です。"""
msc_027050_0070#0,"""ここを中心として、<br>いくつかの別の区画が広がっているようです。"""
msc_027050_0080#0,"""これから向かう地下施設も、そのひとつです。"""
msc_027050_0090#0,"""その情報も、ゼフェットから？"""
msc_027050_0100#0,"""はい。<br>断片的にではありますが。"""
msc_027050_0110#0,"""こんな広いのに、<br>今までどうして見つからなかったんだろう？"""
msc_027050_0120#0,"""ハルファから、<br>離れた場所にあるからです。"""
msc_027050_0130#0,"""今、どこにいるの？"""
msc_027050_0140#0,"""どのくらい離れた場所なの？"""
msc_027050_0150#0,"""正確な座標は不明ですが、<br>ハルファの上空の……宇宙空間です。"""
msc_027050_0160#0,"""宇宙……空間？"""
msc_027050_0170#0,"""ハルファの地表から、夜に見上げた星々の輝き。<br>そのなかに、今の私たちはいるということよ。"""
msc_027050_0180#0,"""え……？"""
msc_027050_0190#0,"""……でも、テレポーターの出力を考えたら、<br>そこまで遠い場所ではないはず……よね？"""
msc_027050_0200#0,"""はい。"""
msc_027050_0210#0,"""それなのに、これまでルシエルの監視網では、<br>探知できていなかった……。"""
msc_027050_0220#0,"""……この外側は、認識阻害の処理がされている<br>……ということ？"""
msc_027050_0230#0,"""でもどうして？"""
msc_027050_0240#0,"""えっと……、<br>どういう話か、キミはわかる？"""
msc_027050_0250#0,"""なんとなくは。"""
msc_027050_0260#0,"""ぜんぜん……。"""
msc_027050_0270#0,"""そういえば、この場所って……。"""
msc_027050_0280#0,"""え？<br>そうなんだ、すごい……。"""
msc_027050_0290#0,"""そ、そうだよね……。"""
msc_027050_0300#0,"""どうしたの？"""
msc_027050_0310#0,"""……ちょっと、ぼーっとしてた。"""
msc_027050_0320#0,"""……今のは……。"""
msc_027050_0330#0,"""もう、ちゃんと聞いてないと。"""
msc_027050_0340#0,"""え？\u3000なに？"""
msc_027050_0350#0,"""……ん？<br>ふたりとも、なにかあったの？"""
msc_027050_0360#0,"""ううん、なんでもない。<br>続きを聞かせて。"""
msc_027050_0370#0,"""え、ええ……。"""
msc_027050_0380#0,"""……ゼフェットは、<br>この場所が見つからないようにしていた。"""
msc_027050_0390#0,"""ハルファの人々だけでなく、<br>私たちにもね。"""
msc_027050_0400#0,"""なにかを、隠してるかも……ってこと？"""
msc_027050_0410#0,"""ええ。"""
msc_027050_0420#0,"""あくまで、仮定の話だけれど。"""
msc_027050_0430#0,"""ファリア、これから行く場所が、<br>どういうところか、わかる？"""
msc_027050_0440#0,"""いえ、私が把握しているのは、<br>ゼフェットのいる場所へのルートだけです。"""
msc_027050_0450#0,"""簡易的な地図のようなイメージがあるだけで、<br>具体的なことはわかりません。"""
msc_027050_0460#0,"""やっぱり……。"""
msc_027050_0470#0,"""ゼフェットの罠だったりしないよね？"""
msc_027050_0480#0,"""……なんとも言えないわ。"""
msc_027050_0490#0,"""でも、なにがあってもいいように、<br>注意しておいたほうがよさそうね。"""
msc_027050_0500#0,"""……わかった。"""
