un_013000_0001#0,"""A.P.238/4/4"""
un_013000_0010#0,"""วะฮ่าฮ่า! ทุกคนได้ยินรึเปล่า?<br>ได้ยินกันใช่มั้ย!<br>เสียงนี้ก็คือเสียงของข้าเอง!"""
un_013000_0020#0,"""แม้จะไม่ต้องบอกก็รู้จัก<br>หนึ่งใน Six Pillars ข้า Huey มาแล้ว!"""
un_013000_0030#0,"""เฮ้ย เจ้าพวก ARKS ที่อยู่ตรงนั้นน่ะ!<br>อย่าหันหน้าเมินจอมอนิเตอร์กันสิวะ!"""
un_013000_0040#0,"""ข้าเองก็ไม่ได้นึกสนุกชั่ววูบแฮกมอนิเตอร์<br>มาเล่นๆ นะโว้ย! เพราะมันมีเรื่องสำคัญ<br>จะประกาศจาก Six Pillars ตางหาก!"""
un_013000_0050#0,"""พวกเจ้า! พวกเจ้าทุกคนพยายาม<br>กันได้ดีมากในการต่อสู้ตัดสิน<br>กับ Dark Falz เมื่อวันก่อน!"""
un_013000_0060#0,"""เพราะฝีมือของพวกเจ้าทุกคน<br>จึงสามารถขับไล่เจ้านั่นไปได้!<br>มันคือชัยชนะ ชัยชนะของพวกเรา!"""
un_013000_0070#0,"""และเพื่อเป็นที่ระลึกในชัยชนะครั้งนี้<br>พวกข้าจึงคิดจะเป็นเจ้าภาพ<br>ในการจัดงานชุมนุมสังสรรค์ขึ้นมา!"""
un_013000_0080#0,"""และชื่อของมันก็คือ......!<br>The ARKS Great Battle-Skills Festival!"""
un_013000_0090#0,"""แน่นอนว่าสปอนเซอร์ก็คือข้าเอง! <br>Regius เองก็อนุมัติแล้วเพราะงั้นสบายใจได้"""
un_013000_0100#0,"""พวกเจ้าจงตั้งหน้าตั้งตารอคิดกัน<br>ได้เลยว่าจะแสดงผลลัพธ์ที่<br>ฝึกฝนกันมาแบบไหน!"""
un_013000_0110#0,"""เอาล่ะ ถ้างั้นขอลาไปก่อนล่ะ!"""
un_013000_0001#1,"""A.P.238/4/4"""
un_013000_0010#1,"""はっはっは！\u3000聞こえるか？<br>聞こえるだろう！<br>オレの高らかな叫びが！"""
un_013000_0020#1,"""言わずと知れた六芒均衡<br>オレことヒューイ、参上！"""
un_013000_0030#1,"""おいそこのアークスくんたち！<br>モニターから目をそらすんじゃない！"""
un_013000_0040#1,"""オレだって何も酔狂で<br>モニタージャックしたりはしないぞ！<br>六芒均衡からの大切なお知らせだ！"""
un_013000_0050#1,"""みんな！\u3000先日の<br>ダークファルスとの決戦では<br>頑張ってくれたな！"""
un_013000_0060#1,"""みんなのおかげで、なんとか<br>ヤツを撃退することができた！<br>オレたちの勝利だ、勝利！"""
un_013000_0070#1,"""そこで、このたびの勝利を記念して<br>一つ、オレたち主導の催し物を<br>開催しようと思う！"""
un_013000_0080#1,"""その名もっ……！<br>アークス大戦技祭！"""
un_013000_0090#1,"""主催はオレ！\u3000レギアスからの許可も<br>ばっちりもらっているから心配するな！"""
un_013000_0100#1,"""日頃の鍛錬の成果を見せつけるような<br>どでかいものを考えているから<br>楽しみに待つように！"""
un_013000_0110#1,"""では、さらばだっ！"""
