name_7691#0,"""ウーフー"""
ssn_014640_0001#0,"""このところ、見慣れぬエネミーが出没している。"""
ssn_014640_0002#0,"""なかなか厄介なやつだ。<br>どうしたものか……。"""
ssn_014640_0101#0,"""キミか……。"""
ssn_014640_0102#0,"""ちょうどいい。<br>ひとつ頼まれてくれないか。"""
ssn_014640_0201#0,"""着いたか。<br>その辺りにいるはずだ。"""
ssn_014640_0202#0,"""頼んだぞ。"""
ssn_014640_0301#0,"""そうか、気が変わったらまた声をかけてくれ。"""
ssn_014640_0401#0,"""戦闘が長引けば、面倒なことになるだろう。<br>イコライジングエネミーを真っ先に叩くのだ。"""
ssn_014640_0402#0,"""吉報を待っているぞ。"""
ssn_014640_0501#0,"""よくやってくれた。<br>キミに頼んで正解だった。"""
ssn_014640_0502#0,"""キミのようなアークスがいてくれて、頼もしい限りだ。<br>またなにかあったら、よろしく頼むぞ。"""
ssn_014640_0601#0,"""キミのようなアークスがいてくれて、<br>頼もしい限りだ。"""
ssn_014640_0602#0,"""またなにかあったら、よろしく頼むぞ。"""
