un_012060_0001#0,"""???"""
un_012060_0010#0,"""...อึก หยุดก่อน อย่าหนีนะ<br>Haddred โธ่เอ๊ย"""
un_012060_0020#0,"""อึก...เร็วเข้า...<br>ต้องรีบตามไป..."""
un_012060_0030#0,"""ขอร้อง...<br>ท่านอย่าเพิ่งมาขวาง<br>บาดแผลแค่นี้ไม่เป็นไรหรอกค่ะ"""
un_012060_0040#0,"""เพราะเรื่องสำคัญกว่านั้น...<br>คือชั้นต้อง... กับ Haddred<br>ต้องจบเรื่องนี้ให้ได้เร็วที่สุด..."""
un_012060_0050#0,"""...ขอโทษด้วยค่ะ<br>ตอนนี้ชั้นใจเย็นลงแล้ว"""
un_012060_0060#0,"""...ไม่เหลือเค้าลางของเค้าอยู่ใกล้ๆ <br>นี้แล้ว หาต่อไป ก็เปล่าประโยชน์"""
un_012060_0070#0,"""ชั้นคงต้องขอตัวก่อนนะคะ"""
un_012060_0080#0,"""...ขอโทษด้วยค่ะ"""
un_012060_0090#0,"""A.P.238/3/26"""
un_012060_0001#1,"""？？？"""
un_012060_0010#1,"""……くっ、待て、逃げるな！<br>ハドレッド！\u3000くそっ！"""
un_012060_0020#1,"""ぐっ……はやく……！<br>あいつを追わないと……！"""
un_012060_0030#1,"""あなたは……<br>邪魔をしないでください。<br>わたしの治療なんていいんです。"""
un_012060_0040#1,"""それよりも、わたしは……！<br>あいつを……ハドレッドを<br>始末しなければいけないのに……！"""
un_012060_0050#1,"""……すみません。<br>冷静さを欠いていました。"""
un_012060_0060#1,"""……付近にも気配はありません。<br>これ以上探しても、無駄ですね。"""
un_012060_0070#1,"""わたしは、先に撤退します。"""
un_012060_0080#1,"""……すみません。"""
un_012060_0090#1,"""A.P.238/3/26"""
