name_7030#0,"""쿠이카"""
name_7031#0,"""ギニー"""
msn_023024_0010#0,"""おつかれさまです。<br>あなたは、“ガーディアン”ですね。"""
msn_023024_0020#0,"""なにかご用ですか？"""
msn_023024_0030#0,"""……この岩について調べている？"""
msn_023024_0040#0,"""この下に、リング状の構造物が見えますか？<br>あれは、デグレブ。反重力制御の高速輸送システムです。"""
msn_023024_0050#0,"""エアリオと리템をつなぐ輸送網の一部でしたが、<br>最初のダークファルス実験で破壊されました。"""
msn_023024_0060#0,"""その影響で、<br>このあたりでは重力異常が起きています。"""
msn_023024_0070#0,"""今、その修正方法を検討しています。"""
msn_023024_0080#0,"""……反重力制御？<br>……高速輸送システム？"""
msn_023024_0090#0,"""よくわからないけど、<br>あとでルシエランに聞けばよさそう？"""
msn_023024_0100#0,"""……なんか、<br>あっさり解決しちゃったな。"""
msn_023024_0110#0,"""うーん、もうひとつ謎があるの！<br>次は、ミストラ樹林に向かって！"""
msn_023024_0210#0,"""……はい？"""
msn_023024_0220#0,"""まだ、なにか？"""
