name01#0,"""Marlu"""
name01#1,"""マールー"""
text00#0,"""...ขอบคุณมาก<br>ทำออกมาได้ดีทีเดียว<br>ไว้จะมารบกวนอีกนะ"""
text01#0,"""...ขอบคุณ<br>เหมือนที่สั่งเลย<br>งั้นไปล่ะ ไว้เจอกันนะ"""
text02#0,"""...สวัสดี<br>ของที่สั่ง เสร็จแล้วสินะ<br>ขอบคุณมาก ขอตัวก่อนนะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""……お疲れ様。<br>とても良い出来だと思う。<br>またよろしくね。"""
text01#1,"""……ありがとう。<br>頼んだ通り。<br>それじゃあ、またね。"""
text02#1,"""……こんにちは。<br>依頼品、できたのね。<br>ありがとう、またね。"""
text03#1,"""ありがとう03"""
text00#2,"""...ขอบคุณมาก<br>ดีกว่าที่คิดไว้ซะอีก<br>คราวหน้าคงต้องรบกวนอีกนะ"""
text01#2,"""...ยอดเยี่ยมไปเลย<br>ดีกว่าที่ขอให้ทำซะอีก<br>ขอบคุณนะ"""
text02#2,"""...น่าตกใจจริงๆ<br>ทำออกมาได้ไม่มีที่ติเลย<br>ถ้ามีอะไร จะมาขอให้ช่วยอีกนะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""……お疲れ様。<br>想像以上の出来だと思う。<br>次も、ぜひお願いね。"""
text01#3,"""……とてもいい感じね。<br>頼んだ以上のものになってる。<br>ありがとう。"""
text02#3,"""……すごく、びっくりした。<br>素晴らしい、出来だと思う。<br>また機会があったら、よろしくね。"""
text03#3,"""本当にありがとう03"""
