Title#0,"""走破演習：安杜斯奇亞"""
Explanation#0,"""本任務為實戰演習的一環。<br>藉由比較到達目標的任務時間<br>來提升各自的境界。<br>比賽從安杜斯奇亞行星的浮游大陸<br>穿越火山洞窟討伐目標對象的任務時間。<br>同時，為了測試各成員的團體作戰能力<br>本任務建議以隊伍為單位<br>參加。<br>――――――――――――――――――――<br>失敗條件/陷入無法戰鬥狀態後，選擇放棄"""
Title#1,"""走破演習：アムドゥスキア"""
Explanation#1,"""本任務は、実戦演習の一環である。<br>目標到達までの任務時間を競い合うことで<br>より一層の精進を期待する。<br>惑星アムドゥスキアの浮遊大陸から<br>火山洞窟を抜け目標対象の討伐時間を競う。<br>同時に、各員の共闘能力も測るため<br>本任務はパーティーを組んでの受注を<br>推奨とする。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
