name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ダークブラストの基礎」に<br>ついて訓練しましょう！"""
text02#0,"""ダークブラストを使うと、なんと！<br><red>一時的に、すごい力が使える<c><br>ようになりますよ！"""
text03#0,"""まずはエネミーを攻撃して<br>ゲージをためましょう。"""
text04#0,"""ゲージがたまったら、サブパレットから<br>スキル「ダークブラスト」を使うと<br>発動できますよ。"""
text101#0,"""課題１：<yellow>攻撃を当ててゲージがたまったら、<br>サブパレットからダークブラストを使用"""
train_title#0,"""課題１：<yellow>攻撃を当ててゲージがたまったら、<br>サブパレットからダークブラストを使用"""
tut_title#0,"""ダークブラストの使用について"""
text100#0,"""・<%NormalAttack>でエネミーを攻撃してゲージをためる<br>・<%SubPalette1>でダークブラストを発動"""
text101#1,"""・<%NormalAttack>でエネミーを攻撃してゲージをためる<br>・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でダークブラストを発動"""
text100_v#0,"""・サブパレットから<br>\u3000ダークブラストを選択"""
tut_win_title#0,"""『ダークブラストの発動』について"""
tut_win_text100#0,"""ダークブラストを使用するためには<br>「ダークブラスト」を<br><c ffff00>サブパレットにセット<c>する必要があります。<br><br>エネミーを攻撃すると<br>ダークブラストのスキルアイコンを囲う<br>ゲージが上昇していき、最大まで上昇させると<br>ダークブラストが使用可能になります。<br><br>ダークブラストを発動できる回数には<br>制限があり、一度のクエスト内で<br><c ffff00>１回だけ<c>発動することができます。"""
tut_vita_text100#0,"""ダークブラストを使用するためには<br>「ダークブラスト」を<br><c ffff00>サブパレットにセット<c>する必要があります。<br><br>エネミーを攻撃していくことで<br>ダークブラストが使用可能になります。<br><br>ダークブラストを発動できる回数には<br>制限があり、一度のクエスト内で<br><c ffff00>１回だけ<c>発動することができます。"""
