name01#0,"""Hilda"""
name01#1,"""ヒルダ"""
11_voice_navi02_109#0,"""ต่อไปก็คือการชาร์จยิง<br>ของ Photon Magic"""
text00#0,"""เกี่ยวกับการ [Charged Photon Magic]"""
text01#0,"""Tutorial: อธิบายเกี่ยวกับการ [Charged Photon Magic]<br><br>แทนที่จะร่าย Photon Magic ตามปกติ <br>ท่านสามารถกดปุ่มค้างเพื่อปล่อย Charged Photon Magic <br>ที่มีพลังโจมตีมากและระยะโจมตีไกลกว่าเดิมได้"""
text02#0,"""Charged Photon Magic นั้นไม่เพียงแต่จะเพิ่มพลังโจมตีขึ้นเท่านั้น<br>ทว่ายังเพิ่มระยะโจมตีหรือจำนวนผลลัพธ์ตามแต่ละชนิดของ Photon Magic ด้วย<br><br>หากเป็นในกรณีของ Fire Photon Magic [Foie]<br>รัศมีระยะระเบิดจะกว้างขึ้นและพลังโจมตีก็จะสูงขึ้นเมื่อชาร์จ<br>ซึ่งสามารถพูดได้ว่าใช้ได้ดีในการต่อสู้กับศัตรูจำนวนมากๆ """
text03#0,"""หากเป็นในกรณี Recovery Photon Magic [Heal]<br>เมื่อชาร์จ ระยะจะกว้างขึ้นและจำนวนครั้งในการฟื้นฟูก็จะเพิ่มขึ้น<br><br>ถือเป็นกลยุทธ์สำคัญในการเล่นแบบปาร์ตี้หลายคน"""
text04#0,"""Charged Photon Magic นั้นจะใช้ PP เท่ากับ Photon Magic ธรรมดา<br>Wizard เป็น Class ที่ต้องใช้ PP จำนวนมาก <br>การใช้ Charged Photon Magic จึงเป็นทางเลือกที่ดีในการต่อสู้อย่างหนึ่ง"""
text100#0,"""กด <%PhotonArts> ค้างเพื่อปล่อย Charged Photon Magic!"""
text1000#0,"""กด <%PhotonArts> ค้างแล้วปล่อย!"""
11_voice_navi02_109#1,"""続けて、テクニックの<br>チャージショットだ。"""
text00#1,"""『チャージテクニック』について"""
text01#1,"""チュートリアル<br>『チャージテクニック』について説明します。<br><br>テクニックはただ発動するだけでなく、<br>長押しすることで力を溜め、威力や効果範囲を高めた<br>チャージテクニックを放つことができます。"""
text02#1,"""チャージテクニックは、威力が上がるだけでなく<br>種類によっては、効果範囲や効果回数が増します。<br><br>炎攻撃テクニック「フォイエ」の場合は、<br>爆発範囲と威力が大幅にアップします。<br>多くの敵を巻き込んで戦う場合に有効といえます。"""
text03#1,"""回復テクニック「レスタ」の場合は、<br>回復範囲と回復回数が大幅にアップします。<br><br>複数人数でのパーティープレイにおいて、重宝されます。"""
text04#1,"""チャージテクニックは消費するＰＰが<br>通常のテクニック発動時と変わりません。<br>ＰＰを消費しやすいフォースは、チャージテクニックを<br>活用することで、うまく立ち回ることができるでしょう。"""
text100#1,"""<%PhotonArts>を押し続けてチャージテクニックを放て！"""
text1000#1,"""<%PhotonArts>を押し続けて放て！"""
