st_065080_0420#0,"""……到此爲止了嗎。<br>但是、應該已經爭取到了足夠的時間。"""
st_065080_0430#0,"""我的戰鬥、沒有白費。<br>如果是通向未來的基石的話<br>就沒有什麼好害怕的。"""
st_065080_0440#0,"""但是……但是、阿露瑪啊。<br>如果可以的話、我很想<br>再看看你……發自內心地想念。"""
st_065080_0450#0,"""這是……『世果』？"""
st_065080_0460#0,"""……啊、太過分了吉君。<br>你還不瞭解我嗎？"""
st_065080_0470#0,"""怎麼可能……<br>……阿露瑪。"""
st_065080_0480#0,"""來晚了啊對不起啊、雷吉亞斯桑。<br>但是、我不會再讓你一個人了。<br>因爲我也會在一起。"""
st_065080_0490#0,"""一個人太沉重的約定<br>如果是兩個人的話、一定能實現。<br>……一起、走下去吧。"""
st_065080_0500#0,"""……是啊。<br>讓我們一起保護ARKS吧。"""
st_065080_0510#0,"""……終結吧、『世果』。"""
st_065080_0520#0,"""我們在這裏、創造道理。"""
name01#0,"""？？？"""
name02#0,"""雷吉亞斯＆阿露瑪"""
