name01#0,"""Afin"""
name02#0,"""アウロラ"""
name03#0,"""Yucreta"""
skit01#0,"""/toge /ci3 2 ちっ！\u3000やっぱりか……！<br>そんなにおれたちを先に<br>進ませたくないってのかよ！"""
skit02#0,"""ううん、多分違うわ。<br>アタシが感じてる何かが<br>これを呼び出したんじゃない。"""
skit03#0,"""これは、きっとアタシたちを<br>異物……侵入者と認識したから<br>現れたんだと思うわ。"""
skit04#0,"""/ci1 2 いずれにせよ、進むのなら<br>倒す以外に道はないわよ。"""
skit01#1,"""ちっ！\u3000やっぱりか……！<br>そんなにおれたちを先に<br>進ませたくないってのかよ！"""
skit02#1,"""ううん、多分違うわ。<br>アタシが感じてる何かが<br>これを呼び出したんじゃない。"""
skit03#1,"""これは、きっとアタシたちを<br>異物……侵入者と認識したから<br>現れたんだと思うわ。"""
skit04#1,"""いずれにせよ、進むのなら<br>倒す以外に道はないわよ。"""
