msc_021110_0010#0,"""セントラルリーダーのクロフォードだ。<br>みんな、僕の話を聞いてほしい。"""
msc_021110_0020#0,"""今、僕たちは新たな困難に直面している。"""
msc_021110_0030#0,"""ルシエル、リサージェントアークス……。"""
msc_021110_0040#0,"""これまで知らずにいたハルファの真実が明らかになり、<br>混乱も大きいことだろう。"""
msc_021110_0050#0,"""ダークファルスは倒したが、<br>ドールズとの戦いはまだ終わらない。"""
msc_021110_0060#0,"""さらに、新たな敵も現れた。"""
msc_021110_0070#0,"""……スターレス。"""
msc_021110_0080#0,"""先頃、そのスターレスの尖兵との戦いがあり、<br>これを撃破した。"""
msc_021110_0090#0,"""交戦したのは、<br>あのダークファルスを打ち倒した者たちだ。"""
msc_021110_0100#0,"""恐れることはない。<br>僕たちは、スターレスに対抗できる。"""
msc_021110_0110#0,"""だが、完全なる勝利を得るためには、<br>これまで以上の団結が必要だ。"""
msc_021110_0120#0,"""エアリオ、リテム、クヴァリス、スティア……だけではない。"""
msc_021110_0130#0,"""リサージェントアークスの“仲間”とも、<br>手をとりあって立ち向かわなければならない。"""
msc_021110_0140#0,"""みんな、いろいろ思うところはあるだろう。"""
msc_021110_0150#0,"""たしかに、僕たちは彼らの行いによって、<br>これまで苦しめられてきた。"""
msc_021110_0160#0,"""けれど、今は違う。<br>ゼフェットの支配から解き放たれた彼らは、敵ではない。"""
msc_021110_0170#0,"""僕たちの新たな力になる存在だ。"""
msc_021110_0180#0,"""全員で一丸となれば、<br>スターレスに立ち向かえる！"""
msc_021110_0190#0,"""心をひとつにするんだ！"""
msc_021110_0200#0,"""平和な明日をつかむために、<br>みんなの力を貸してくれ！"""
