11_voice_NPC_5028_100#0,"""เป็น ARKS นี่ดีจังเลยน๊า<br>เหมือนเป็นมิตรสหายแห่งความยุติธรรมเลย!<br>น่าอิจฉาจังเลยน๊า...."""
11_voice_NPC_5028_100#1,"""アークスっていいよねー<br>正義の味方！って感じでさ。<br>うらやましぃなぁ……"""
11_voice_NPC_5028_105#0,"""อืออออออ...<br>ทำยังไงถึงจะใช้ Photon ได้เนี้ย<br>ไม่มีทางเลยหรือไงน๊า"""
11_voice_NPC_5028_105#1,"""んー、んんんー……<br>どうやったらフォトン使えるかな。<br>何か手はないかなー。"""
11_voice_NPC_5028_104#0,"""ท่านเป็น ARKS แต่ข้าไม่ใช่<br>แปลกจังเลยน๊า<br>ทั้งที่มองดูก็เหมือนๆกันแท้ๆ"""
11_voice_NPC_5028_104#1,"""あなたはアークス、わたしは違う。<br>ふっしぎだよねぇー。<br>見た目ほとんど同じなのにさ。"""
11_voice_NPC_5028_108#0,"""รู้ไหมว่าบางที Photon จะเปลี่ยนแปลง<br>ไปตามอารมณ์ของเราด้วยนะ<br>มันจะเป็นความรู้สึกแบบไหนกันนะ..."""
Ulc_04_020#0,"""ข้าคิดถึงเรื่อง Photon ตลอดเวลาเลย<br>เผื่อว่ามันจะตอบสนองกับข้าบ้าง<br>ขอแค่รู้สึกซักนิดก็ยังดีนะ"""
11_voice_NPC_5028_108#1,"""フォトンとは、感情によって<br>効果を変動させる、ってあるよね。<br>どーんな感じなんだろーなー……"""
Ulc_04_020#1,"""わたし、これだけフォトンに対して<br>恋い焦がれてるんだから<br>少しは反応してくれてもいいのにね。"""
11_voice_NPC_5028_100#2,"""ความฝันจะต้องเป็นจริง!<br>ข้าเชื่ออย่างนั้นมาตลอด<br>ข้าจะไม่ยอมแพ้จนกว่าจะได้เป็น ARKS!"""
11_voice_NPC_5028_100#3,"""夢とは叶えるためのもの！<br>わたしはそう信じてるから<br>アークスになるの、諦めないよ！"""
11_voice_NPC_5028_100#4,"""ได้พบกับเพื่อนของข้าหรือยัง?<br>เขาจะดูหดหู่อยู่เสมอเลย<br>ช่วยไปพบเขาทีนะ"""
11_voice_NPC_5028_100#5,"""わたしの友達に会ったかな？<br>うじうじしてるのいたら、多分それ。<br>できれば仲良くしてあげてね。"""
11_voice_NPC_5028_105#2,"""อืมมม... มันน่าจะต้องซักทางซิ<br>....อ๊ะ ข้าพูดไปเรื่อยนะ อย่าสนใจเลย<br>ข้าพยายามจะหาทางกระตุ้นใครซักคนนะ"""
11_voice_NPC_5028_105#3,"""うーん……何かいい手はないものか。<br>……あ。こっちの話、気にしないでね。<br>やる気を煽る方法を考えてるだけ。"""
11_voice_NPC_5028_104#2,"""สำหรับข้าแล้วการยอมแพ้ไม่ใช่เรื่องยากเลย<br>แต่ถ้าข้าทำแบบนั้นล่ะก็<br>เขาก็คงจะยอมแพ้เหมือนกัน"""
Ulc_08_020#0,"""แย่จริงๆ ทั้งๆที่เป็น ARKS แล้วแท้ๆ<br>เจ้านั้นก็ยังก่อปัญหาให้ข้าอยู่เรื่อย!<br>เอาเถอะ ช่วยไม่ได้ ข้าต้องพยายามต่อไปล่ะนะ!"""
11_voice_NPC_5028_104#3,"""わたしが諦めるのは簡単だけど<br>そうすると、多分あいつも一緒に<br>諦めちゃいそうなんだよねー。"""
Ulc_08_020#1,"""まったく、アークスになったってのに<br>面倒かけるやつだよなあ、あいつ。<br>よーっし、仕方がない、頑張ろう！"""
11_voice_NPC_5028_101#0,"""ความพยายามสูญเปล่าเหรอ? ไม่มีปัญหา!<br>ถึงมันจะสูญเปล่าแต่อย่างน้อยก็ได้พยายาม"""
11_voice_NPC_5028_101#1,"""やる気の空回り？\u3000上等上等！<br>空回るだけのやる気はあるって<br>認めてくれてるわけだからね。"""
11_voice_NPC_5028_101#2,"""เฮะๆๆ!<br>คราวนี้ข้าจะไปเรื่อง ARKS ลำอื่น<br>เพื่อขนย้ายของ!"""
Ulc_10_020#0,"""เป็นครั้งแรกที่ได้ออกไปนอกอวกาศเลย<br>ตื่นเต้นสุดๆเลยล่ะ!"""
11_voice_NPC_5028_101#3,"""へっへー！<br>今度、別のアークスシップに<br>物資運搬とかに行くんだ！"""
Ulc_10_020#1,"""宇宙に出るの初めてだし<br>なんだかワクワクだよ！"""
11_voice_NPC_5028_100#6,"""ช่วงนี้คนในพื้นที่ตื่นเต้นกันใหญ่เลย<br>รู้เรื่องไอดอลที่โด่งดังหรือเปล่า?<br>ดูท่าจะเป็นคนที่สุดยอดเลยนะ"""
Ulc_11_020#0,"""อืม....<br>เหมือนกับเป็นสัญลักษณ์เลยนะ<br>ที่ทำให้ทุกๆคนดูตาเป็นประกายกันหมด"""
Ulc_11_030#0,"""ถ้าจะให้ข้าเป็นคนแบบนั้น<br>ให้ได้ล่ะก็....ไม่ไหวๆ<br>ข้าจะหาทางทำให้แตกต่างกว่านี้"""
11_voice_NPC_5028_100#7,"""今、市街地エリアとかで人気沸騰してる<br>アイドルの話って、知ってる？<br>すごい人気なんだよ、あれ。"""
Ulc_11_020#1,"""うーん……<br>ああいうシンボリックな存在になって<br>士気向上につとめるってのもありか。"""
Ulc_11_030#1,"""なんてね、わたしはそんなの<br>ガラじゃないから、無理無理。<br>真っ当に役立つ手を見つけるよ。"""
