st_062020_0010#0,"""そろそろ来る頃だと思っていたよ。"""
st_062020_0020#0,"""何が聞きたい。なんて愚問だな。<br>あの、シバについての情報だろう？"""
st_062020_0030#0,"""だが残念。<br>僕も彼女についての情報は<br>そう多く持っていない。"""
st_062020_0040#0,"""ほとんどはハリエットが<br>言ってくれた通りだ。"""
st_062020_0050#0,"""僕はハリエットを造った。<br>それはフォトンの器として究極のもので<br>……まごうことなき、最高傑作だった。"""
st_062020_0060#0,"""器が自己を持ち、自我を持つ。<br>それは知性の創造と同義だ。"""
st_062020_0070#0,"""シオンの初まり……<br>海の中にふいに生まれた知性。<br>ついにその現象を、追従できた。"""
st_062020_0080#0,"""それを、器としてしか見ていない<br>上層の俗物さえいなければ……<br>やがては全知へと至っていたはずだった。"""
st_062020_0090#0,"""それだけの時間はあった。技術もあった。<br>見本とするべき、全知存在もあった。"""
st_062020_0100#0,"""だのに、瞬間的な解決を人は望んだ。"""
st_062020_0110#0,"""器から元の魂を引きはがし<br>そこへフォトンを流し込み、餌とした。"""
st_062020_0120#0,"""フォトンを消すために存在する<br>【深遠なる闇】の餌に。"""
st_062020_0130#0,"""処置は成功した。<br>【深遠なる闇】は器へと入りこみ<br>知性が芽生え、器へと縛られた。"""
st_062020_0140#0,"""あとは、その器を捨てるのみ……"""
st_062020_0150#0,"""俗物にとって誤算だったのは<br>【深遠なる闇】……今で言う、シバが<br>知性を得、人を理解したことだろう。"""
st_062020_0160#0,"""人の欲望に取り付く癌……<br>ダークファルスを残し、世の楔とした。<br>いずれ自分が、戻ったときのための。"""
st_062020_0170#0,"""……それらの宿り先が<br>僕達ということだ。"""
st_062020_0180#0,"""どうだい、何の実もない<br>つまらない話だろう。"""
st_062020_0190#0,"""それでも君にこの話をしたのは<br>……人としての、ルーサーとしての<br>君への礼のつもりさ。"""
st_062020_0200#0,"""ハリエットの魂は救済されていた。<br>……それを知ることができたのは<br>一つ、僕にとっての利ではあった。"""
st_062020_0210#0,"""……シオンは当然<br>彼女のことも識っていたのだろう。<br>道理で、同情的だったわけだよ。"""
