IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""$(0)を討伐せよ！"""
TrialAbstract#0,"""$(0)を討伐せよ！"""
GateBreak1#0,"""大唱壁門が破壊された"""
GateBreak2#0,"""大唱壁門が破壊された"""
MonoPrincessLevelUpdate1#0,"""【スクナヒメの加護】<br>移動速度アップ<br>ジャンプ力アップ<br>コスモ/ムーンアトマイザー効果範囲アップ"""
MonoPrincessLevelUpdate2#0,"""【スクナヒメの加護】<br>HP最大値アップ"""
MonoPrincessLevelUpdate3#0,"""【スクナヒメの加護】<br>PP回復量アップ"""
NpcComOnBegin#0,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#0,"""敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#0,"""/face4 交戦中の隊員の反応が消失しました。<br>ただちにキャンプシップへの<br>転送を図ります。"""
HP_Under_50#0,"""$(0)残存体力、低下！"""
HP_Under_10#0,"""$(0)残存体力、あとわずかです！"""
NpcComLastEnemy#0,"""残り一体です！"""
GateBreak1#1,"""第一問"""
GateBreak2#1,"""第二問"""
FinalGateArrival#0,"""最終問題"""
FinalGateWarning1#0,"""最終問題残り50%を切りました"""
FinalGateWarning2#0,"""最終問題残り10%を切りました"""
NpcComOnBegin#1,"""緊急通達だ。<br>強力な敵性反応が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#1,"""敵性反応の消失を確認。<br>よくやったな。"""
NpcComOnFailure#1,"""ちっ、こちらがやられたか……<br>キャンプシップへの転送を行う。"""
HP_Under_50#1,"""$(0)残存体力、低下！"""
HP_Under_10#1,"""$(0)残存体力、あとわずかだ！"""
NpcComLastEnemy#1,"""残り一体だ！\u3000気を抜くな！"""
GateBreak1#2,"""第一問"""
GateBreak2#2,"""第二問"""
FinalGateArrival#1,"""最終問題"""
FinalGateWarning1#1,"""最終問題残り50%を切りました"""
FinalGateWarning2#1,"""最終問題残り10%を切りました"""
NpcComOnBegin#2,"""きっ、緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#2,"""/face2 敵さんの反応消失ーっと！<br>みなさん、お疲れ様でしたー！"""
NpcComOnFailure#2,"""/face6 あああー……交戦中のアークス<br>やられちゃいましたぁ……<br>キャンプシップへ転送しますー……"""
HP_Under_50#2,"""$(0)残存体力、低下ですよー！"""
HP_Under_10#2,"""$(0)残存体力、あとわずかですよー！"""
NpcComLastEnemy#2,"""/face2 あと一体！\u3000あと一体！"""
GateBreak1#3,"""第一問"""
GateBreak2#3,"""第二問"""
FinalGateArrival#2,"""最終問題"""
FinalGateWarning1#2,"""最終問題残り50%を切りました"""
FinalGateWarning2#2,"""最終問題残り10%を切りました"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性存在の反応を感知。<br>迅速な対応を望みます。"""
NpcComOnSuccess#3,"""敵性反応、消失。<br>任務完了を確認しました。"""
NpcComOnFailure#3,"""/face4 最終大唱壁門、破壊。<br>継続戦闘、不可。"""
HP_Under_50#3,"""$(0)残存体力、低下。"""
HP_Under_10#3,"""$(0)残存体力、あとわずかです。"""
NpcComLastEnemy#3,"""残りの敵性存在は一体です。"""
GateBreak1#4,"""『禍津』が第一の門を破壊し、侵攻中。<br>各員追撃し、侵攻の阻止を。"""
GateBreak2#4,"""『禍津』が第二の門を破壊し<br>最終大唱壁門へ侵攻中。<br>各員、急ぎ追撃してください。"""
FinalGateArrival#3,"""『禍津』が最終大唱壁門へ到達。<br>アークス各員は『禍津』を追撃し<br>侵攻の阻止に全力を。"""
FinalGateWarning1#3,"""最終大唱壁門の損傷、拡大中。<br>各員、『禍津』の侵攻を食い止めるため<br>全力で状況にあたってください。"""
MonoPrincessLevelUpdate1#1,"""これより、わらわの加護を授ける。<br>普段よりも身軽に動けるように<br>なるはずじゃ！"""
MonoPrincessLevelUpdate2#1,"""『禍津』の力が弱まっておるな。<br>わらわの力が届きやすくなったわ。<br>体力底上げ、恵身の加護、授けるぞ！"""
MonoPrincessLevelUpdate3#1,"""ここが勝負の決め所よ！<br>わらわの加護と、そなたらの力<br>今こそ一つに合わせる時！"""
