msc_022050_0010#0,"""……ふぅ。"""
msc_022050_0020#0,"""もしかして、<br>私のようすを見に？"""
msc_022050_0030#0,"""心配性ね。"""
msc_022050_0040#0,"""力のことを聞いた。"""
msc_022050_0050#0,"""力を使っているのか？"""
msc_022050_0060#0,"""そう……。"""
msc_022050_0070#0,"""……あれだけやれば、<br>そうなるわね……。"""
msc_022050_0080#0,"""力……。"""
msc_022050_0090#0,"""あれのことに、気づいたのね……。"""
msc_022050_0100#0,"""あなたには、きちんと説明しておくわ。"""
msc_022050_0110#0,"""私が使っているのは、<br>“オーバーブースト”と呼ばれるもの。"""
msc_022050_0120#0,"""ハルファでの任務のため、<br>ゼフェットから与えられた力なの。"""
msc_022050_0130#0,"""ただし、緊急時以外には、<br>使用を制限されていた。"""
msc_022050_0140#0,"""……私の正体を、<br>悟られないためにね……。"""
msc_022050_0150#0,"""……でも今は、その力を隠す必要がない。"""
msc_022050_0160#0,"""だから、積極的に使っているというだけよ。"""
msc_022050_0170#0,"""それは、大丈夫なの？"""
msc_022050_0180#0,"""無茶はしないでほしい。"""
msc_022050_0190#0,"""心配いらないわ。"""
msc_022050_0200#0,"""無茶なんてしていない。"""
msc_022050_0210#0,"""大丈夫よ。"""
msc_022050_0220#0,"""素早く、そして安全に調査を進めるために、<br>うまく活用しているつもり。"""
msc_022050_0230#0,"""ほかの調査隊員からも、喜ばれているわ。"""
msc_022050_0240#0,"""それよりも、あなたのほうはどうなのかしら？"""
msc_022050_0250#0,"""私のことよりも、あなたの話を聞かせて。"""
