name01#0,"""Melfon"""
name01#1,"""メルフォンシーナ"""
text00#0,"""ถูกต้องตามที่ขอเลยค่ะ<br>ขอบคุณมากนะคะ"""
text01#0,"""ได้รับของเรียบร้อยแล้วค่ะ<br>ขอตัวก่อนนะคะ"""
text02#0,"""ขอบคุณมากค่ะ<br>คราวหน้าก็รบกวนด้วยนะคะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""依頼通りですね。<br>ありがとうございました。"""
text01#1,"""確かに受け取りました。<br>それでは、失礼します。"""
text02#1,"""助かりました。<br>また、宜しくお願いします。"""
text03#1,"""ありがとう03"""
text00#2,"""ดีกว่าที่ขอร้องไว้ซะอีกนะคะ<br>ขอบคุณมากจริงๆค่ะ<br>ช่วยได้มากเลย"""
text01#2,"""ดีกว่าที่คิดซะอีกค่ะ<br>ออกมาสวยขนาดนี้<br>ขอตัวนะคะ ถ้ามีอะไรกรุณาช่วยอีกนะคะ"""
text02#2,"""ไม่คิดเลยค่ะ<br>ว่าจะได้ของคุณภาพสูงขนาดนี้<br>ขอบพระคุณมากค่ะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""頼んだ以上の出来ですね。<br>ありがとうございます。<br>助かりました。"""
text01#3,"""想像以上でした。<br>良い品ですね。<br>では、またお願いします。"""
text02#3,"""まさかこんな良品を頂けるとは<br>思いもよりませんでした。<br>ありがとうございます。"""
text03#3,"""本当にありがとう03"""
