Title#0,"""Eliminate Fangbanther"""
Explanation#0,"""รายงานระบุว่าสัตว์พื้นเมืองที่มีขนาดใหญ่<br>เรียกว่า Fangbanthers กำลังทำงานอาละวาด<br>ลึกลงไปใน greenscape บน naberius<br>พวกเขามีความคิดที่ได้รับการปนเปื้อน<br>โดย D-arkers<br>ปฏิบัติการ ARKS จะมุ่งหน้าเข้าสู่<br>greenscape และเอาชนะ Fangbanthers ใด ๆ<br>คุณพบว่า<br>----------------------------------------<br>คุณจะล้มเหลวถ้าคุณสูญเสียการต่อสู้ครั้งสุดท้าย"""
Title#1,"""ファングバンサー討伐"""
Explanation#1,"""惑星ナベリウスの森林奥地にて<br>ファングバンサーと呼称される<br>大型原生種が暴れ回っているとの<br>情報が入った。<br>おそらくは、ダーカーの影響によって<br>凶暴化しているものと思われる。<br>アークス各員は至急森林奥地へと向かい<br>ファングバンサーを討伐せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Fangbanthers!"""
SimpleExplanation#1,"""ファングバンサーを討伐せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
