name01#0,"""幻創造神"""
name02#0,"""？？？"""
st_048130_0180#0,"""……ここ、どこ？<br>さっきまでの場所と、違う。"""
st_048130_0190#0,"""気持ちの良い風に、心地よい光……<br>……こんな環境、現実味がない。"""
st_048130_0200#0,"""……そうであろう。<br>ここは我が庭。人の身には過ぎたる場よ。"""
st_048130_0210#0,"""！？<br>だ、誰っ！"""
st_048130_0220#0,"""不遜な言葉だな、人の子よ。<br>呼んでおきながら、なお我を何と問うか。"""
st_048130_0230#0,"""……まさか、てめえが。"""
st_048130_0240#0,"""……いかにも。<br>我はこの星を、宇宙を創りし存在であり<br>この宇宙、そのものである。"""
st_048130_0250#0,"""アーデムの身体を器に、神を降ろすってのは<br>そういうことかよ……！"""
st_048130_0260#0,"""しかし、宇宙の創造神のご登場とは<br>いきなりぶっとんできやがったな。"""
st_048130_0270#0,"""……不意不測の形ではあるが<br>こうして形取ったのであれば<br>この身の役目、果たさねばなるまい。"""
st_048130_0280#0,"""この地、この星を糧として<br>いざ、新たなる宇宙の創造を行わん。"""
st_048130_0290#0,"""星を糧に創造って……地球を壊す気！？"""
st_048130_0300#0,"""今の人類、この星この宇宙にとっては、な。<br>だが案ずるな、生まれ変わった宇宙は<br>新たなる人類が引き継ぐだろう。"""
st_048130_0310#0,"""終えた世界は、糧としての価値しかなく<br>それを人が望むのであれば……<br>我はそれを為すのみだ。"""
st_048130_0320#0,"""そんなこと……させないッ！"""
st_048130_0330#0,"""ふむ、刃を向けるか。<br>創造の神に。"""
st_048130_0340#0,"""天叢雲が……消えた……！？<br>どうして……！"""
st_048130_0350#0,"""其は我が一部を用いて具現したもの。<br>我に通じる由もなく、我の意に従い霧散する。<br>それが道理であろう。"""
st_048130_0360#0,"""……？<br>何故、力が霧散していない？"""
st_048130_0370#0,"""……成程。<br>貴殿は別の宇宙、別の次元からの来訪者か。<br>ならば、我の管理外なのも道理。"""
st_048130_0380#0,"""<%me>。<br>この退廃しきった星のために<br>尽くしてくれたこと、感謝する。"""
st_048130_0390#0,"""あとは、創造神たる我が引き継ごう。<br>ゆるゆると、お帰り願えるか。"""
st_048130_0400#0,"""あれも……我が世界のものにあらず。<br>共々、お帰り願うとしよう。"""
