IncidentName#0,"""より多くの敵を撃破せよ！"""
TrialBeginMsg#0,"""制限時間内に、より多くの敵を撃破せよ！"""
TrialAbstract#0,"""制限時間内に、より多くの敵を撃破せよ！"""
Toast75EnemyMsg#0,"""残り７５体！"""
Toast50EnemyMsg#0,"""残り５０体！"""
Toast25EnemyMsg#0,"""残り２５体！"""
Toast10EnemyMsg#0,"""残り１０体！"""
NpcComOnBegin#0,"""周囲に多数の敵性反応を確認！<br>時間内に可能な限り撃破し続けて<br>敵の全滅を目指してください！"""
NpcComOnDefeatedHalfEnemy#0,"""敵の数がかなり減ってきました！<br>その調子です！"""
NpcComOnTimeLimit30#0,"""任務終了まで、残り３０秒！<br>ラストスパートですよ！"""
NpcComOnDefeatedAllEnemy#0,"""周囲の敵性反応、完全に消滅！<br>お見事でした！"""
NpcComOnSuccess#0,"""制限時間になりました！<br>敵勢力の撤退を確認。<br>お疲れさまでした！"""
