11_voice_NPC_5161_111#0,"""んんんー？<br>なにが聞きたいのかなー？"""
text01#0,"""『メセタンシューター』って？"""
text02#0,"""『メセタンシューター』の遊び方（基本編）"""
text03#0,"""『メセタンシューター』の遊び方（応用編）"""
text04#0,"""この場を離れる"""
text00#0,"""『メセタンシューター』について"""
text01#1,"""『メセタンシューター』について説明します。<br><br>メセタンシューターは最大4人同時プレイが<br>可能なカジノゲームとなります。<br><br>ステージ奥に登場するエネミーを倒すことで<br>落ちてくるコインボールをキャッチして<br>コインを増やすゲームです。"""
text02#1,"""落ちてくるコインボールは、プレイヤー銃座<br>正面に設置されているキャッチャーに<br>入れることでキャッチすることができます。<br>プレイヤー銃座を左右に動かして、<br>うまくコインボールをキャッチしましょう。"""
text03#1,"""コインボールには様々な種類が存在します。<br>中にはキャッチしてしまうと獲得コインが<br>減ってしまうボールもあるので注意が必要です。<br>また、キャッチすると銃座から発射される弾が<br>一定時間強化されたり、移動速度がアップ<br>したりする<yellow>アイテムボール<c>も存在します。<br>他にも多彩な効果をもたらすボールが<br>存在するので自分で確かめてみましょう。"""
text00#1,"""『メセタンシューター』の遊び方（基本編）について"""
text01#2,"""『メセタンシューター』の<br>遊び方について説明します。<br><br>メセタンシューターは、最大4人で遊べる<br>協力ゲームで、4席が1つのサテライト<br>となり、サテライト毎に異なった<br>ゲームが進行しています。<br><br><red>フレンドと一緒にプレイしたい時は、<br>同じサテライトの席にアクセスしましょう。<c>"""
text02#2,"""空席状態の銃座にアクセスすることで<br>ゲームにエントリーすることができます。<br>エントリー時にはゲームレートを選択します。<br>レートは支払うCCが多いほど、ゲーム内で<br>増減するコイン量が大きくなります。"""
text03#2,"""ゲームは<yellow>WAVE<c>ごとに構成され<br>1回のゲームプレイでは、3WAVEを<br>必ずプレイすることができます。<br><br>1WAVEごとに制限時間が存在し、<br>0になるとインターバルを挟んで<br>次のWAVEが開始されます。<br><br>※WAVE進行中に他プレイヤーが参加した<br>際には、次のWAVEから参加となります。"""
text04#1,"""右クリックで弾を発射することができます。<br>マウス操作でカメラ操作を行うことができます。<br><%MoveLeft>、<%MoveRight>で銃座を左右に<br>移動することができます。<br>途中終了したい場合は[Esc]キー入力で<br>途中終了ウィンドウを表示します。<br><br>※途中終了した際はその時点までに<br>獲得したCCが精算されます。<br><yellow>※操作設定により、上記キーアサインの内容が<br>かわることがあります。<c>"""
text05#0,"""<%NormalAttack_S><%PhotonArts_S><%WeaponAction_S>ボタンで弾を<br>発射することができます。<br>右スティックでカメラ操作を<br>行うことができます。<br>左スティックで銃座を左右に<br>移動することができます。<br>途中終了したい場合は<%MainMenu>ボタンで<br>途中終了ウィンドウを表示します。<br><br>※途中終了した際はその時点までに<br>獲得したCCが精算されます。<br><yellow>※操作設定により、上記キーアサインの内容が<br>かわることがあります。<c>"""
text06#0,"""1ゲーム終了時にはリザルト画面が表示され、<br>獲得したCCが精算されます。<br>続けてプレイしたい場合は、<br>再びレートを選択して次ゲームを<br>プレイすることができます。<br><br>※一定時間、選択決定されない場合は<br>強制的に離席させられます。"""
text00#2,"""『メセタンシューター』の遊び方（応用編）について"""
text01#3,"""『メセタンシューター』の攻略<br>について説明します。<br>WAVEには銅、銀、金の３種類が存在し、<br>出現するエネミーの確率が異なります。<br>銅＜銀＜金の順で、獲得CCの期待度が高い<br>エネミーが出現しやすくなります。<br><red>予約されているWAVEが銀WAVE、金WAVEの時は<br>CC大量獲得のチャンスとなります。<c>"""
text02#3,"""エネミーを撃破すると一定確率で<yellow>PSEレベル<c>が<br>アップします。<br>PSEレベルは高ければ高いほど、銀WAVEや<br>金WAVEが予約されやすくなります。<br>さらに、PSEレベルが最大の時のみ出現する<br><yellow>レアエネミー<c>も存在します。<br><red>PSEレベルが高い時は止め時に注意しましょう。<c>"""
text03#3,"""低確率で出現する<yellow>「ニャウ」<c>を撃破すると、<br>アイテムボールを落としてくれます。<br>アイテムボールをキャッチすると、<br>攻略が有利になる効果がランダム発生します。<br><red>「ニャウ」が出現した時は、積極的に撃破を目指しましょう。<c><br>アイテムボールキャッチ時の効果は下記のとおりです。<br><br>・<c 00ffff>発射弾パワーアップ<c>・・・一定時間銃座から発射する弾の威力や範囲が強化<br>・<c 00ffff>移動速度アップ<c>・・・一定時間銃座の移動速度がアップ<br>・<c 00ffff>キャッチャー拡大<c>・・・一定時間銃座のキャッチャーが拡大"""
text04#2,"""<yellow>「アンブラ」<c>はお邪魔エネミーとなります。<br>「アンブラ」を撃ってしまうとペナルティ<br>として大量の爆弾ボールを落としてきます。<br><red>「アンブラ」が出現した時は、<br>弾が当たらないように注意しましょう。<c>"""
text05#1,"""他にも様々なエネミーが出現し、<br>多彩な効果を持ったボールを落とします。<br>中には、キャッチするとフィールド一面を<br>覆い尽くすほどのコインボールを吐き出す<br><red>大当たりボール<c>を落とす<red>隠れエネミー<c>も存在します。<br>ぜひ、自分の目で確かめてみましょう。"""
text00#3,"""え？\u3000クロネコ？<br>そういえば<br>見かけたような気もするけどー"""
text01#4,"""でも、マスコットっていうと<br>やっぱりラッピーが一番だよねー"""
text02#4,"""ふわふわのもこもこで……<br>触ったらふかふかそうでー……"""
text03#4,"""あっ、いけない。<br>カジノエリアにいらしたのなら<br>ぜひ遊んで行ってねー。"""
