st_054170_0002#0,"""ふっ！"""
st_054170_0004#0,"""甘い！"""
st_054170_0006#0,"""今！"""
st_054170_0010#0,"""終わりです、紅き邪竜。<br>ここは、貴方がいる場所ではありません。<br>深き地の底に、眠りなさい。"""
st_054170_0020#0,"""いやあ、お見事、剣の巫女。<br>さしもの紅き邪竜も<br>天敵相手じゃかたなしだねえ。"""
st_054170_0030#0,"""……もっとも。<br>それが普通なら、だけどサ。"""
st_054170_0040#0,"""そこは、力と名声を求め<br>城とともに崩れ落ちた者が<br>エフィメラとともに眠る場所。"""
st_054170_0050#0,"""その無念、その怨恨……その魂！<br>受け皿があったら、どうなるのかな？"""
st_054170_0060#0,"""アリサ様、危ない！"""
st_054170_0070#0,"""……なッ！？"""
st_054170_0080#0,"""ぐあっ！"""
st_054170_0090#0,"""ごほ、ごほっ！<br>……剣の封印が、効いていない？<br>何か、ほかの力が……っ？"""
st_054170_0100#0,"""剣ノ、巫女ォ……！<br>裏切リ者、メェ……！"""
st_054170_0110#0,"""こ、この声は……！"""
st_054170_0120#0,"""ルツ！<br>魂を、紅き邪竜に宿したというのか！"""
st_054170_0130#0,"""オオオ……ハリエットォ……<br>ルーサー……許サン、許サン……！"""
st_054170_0140#0,"""我ニ刃向カウ者、全テ……！<br>コノチカラデ、消ス……！"""
st_054170_0150#0,"""守護輝士！<br>戻ってきて、くれたんですね！"""
st_054170_0160#0,"""オオオ……がーでぃあん！<br>貴様モ……貴様モ消シテヤル……！"""
st_054170_0170#0,"""これが、紅き邪竜……？<br>でも、この感じは……"""
st_054170_0180#0,"""……気づいたか、妖精。<br>あれには、ルツの魂が宿っている。<br>エフィメラの力によって、な。"""
st_054170_0190#0,"""剣の巫女の力は紅き邪竜の力を封じるが<br>エフィメラの力は根源が違う。<br>……封じきれないのも、道理だろう。"""
st_054170_0200#0,"""かつて世界を壊した存在と<br>今、世界を壊そうとするものの<br>ハイブリッドとは……贅沢ですね。"""
st_054170_0210#0,"""でも、封じきれないってことは<br>あれ、どうすればいいんですか？"""
st_054170_0220#0,"""……倒す、しかありません。<br>その身を微塵に斬り刻めば<br>いかに邪竜であろうと……！"""
st_054170_0230#0,"""叔父上の魂を救うためにも……！<br>ぐっ……！"""
st_054170_0240#0,"""無理をするな"""
st_054170_0250#0,"""任せておけ"""
st_054170_0260#0,"""……ですが、私が封じねば<br>叔父上が、あまりにも不憫です！"""
st_054170_0270#0,"""……聞け、守護輝士、剣の巫女。"""
st_054170_0280#0,"""奴から、エフィメラの力を<br>引きはがす方法は<br>……一つだけ、ある。"""
st_054170_0290#0,"""兄様、それは……"""
st_054170_0300#0,"""守護輝士、邪竜の動きを止めろ。<br>剣の巫女は封印の準備と援護を。<br>……そこまで至れば、あとは僕が。"""
st_054170_0310#0,"""……何をする気、なんですか？"""
st_054170_0320#0,"""エフィメラの専門家にしか<br>出来ないことを、するだけだ。"""
st_054170_0330#0,"""問答している暇はない。<br>動け！"""
st_054170_0340#0,"""守護輝士、下がってください！"""
st_054170_0350#0,"""剣よ……災いを払う光の鎖となりて<br>蠢く悪意を束縛せよ！\u3000ビンドワ！"""
st_054170_0360#0,"""駄目です……！<br>邪竜とは異なる力が束縛を……！"""
st_054170_0370#0,"""召喚による肉体損失の復元。<br>および、魂の定着……"""
st_054170_0380#0,"""……ふざけた真似を、してくれる。<br>それは、僕が見いだしたもので……<br>僕が、捨てた研究だ！"""
st_054170_0400#0,"""定着するべき場所は、こちらだ！<br>紅き邪竜の内などではない！"""
st_054170_0410#0,"""ぐ、ぐうううっ……！<br>どこのどいつだか知らんが、ふざけるなよ。<br>それを扱っていいのは……僕だけだ！"""
st_054170_0420#0,"""それを……それを使うべき相手は……ッ！<br>そんなところには、ないッ！"""
st_054170_0430#0,"""……兄様！"""
st_054170_0440#0,"""……封印、できたんですか？"""
st_054170_0450#0,"""……いえ。<br>剣は言います、封印は完全ではないと。<br>これでは、一時しのぎが関の山。"""
st_054170_0460#0,"""そう間を置くことなく<br>紅き邪竜は出現するでしょう。"""
st_054170_0470#0,"""その時こそ、邪竜を討ち滅ぼし<br>叔父上の魂を解放せねば……<br>あまりにも、可哀想です。"""
st_054170_0480#0,"""……ぐっ！"""
st_054170_0490#0,"""兄様ッ！"""
st_054170_0500#0,"""……ハリエット、か。<br>大丈夫だ、僕は……問題ない。"""
st_054170_0510#0,"""ルーサーさん、何をしたんですか。"""
st_054170_0520#0,"""肉体の召喚による無限再生を<br>術式に干渉して食い止めただけだ。<br>邪竜自身の力は残っている。"""
st_054170_0530#0,"""さらに、エフィメラの力によって<br>強化術式もかけられていた……<br>心してかからねば、返り討ちにあうぞ。"""
st_054170_0540#0,"""ふ、気軽に頷くものだな……<br>それでこそ、守護輝士と言うべきか。"""
st_054170_0550#0,"""……僕は、疲れた。<br>少し休ませてもらう。"""
name01#0,"""レッドドラゴン（ルツ）"""
name02#0,"""？？？"""
