name_7211#0,"""香蒂|シャンディー"""
ssn_019040_002_0001#0,"""謝謝你能過來。<br>我再做個自我介紹吧。"""
ssn_019040_002_0002#0,"""我叫香蒂。我正在研究<br>發生在哈爾法上的各種特異現象。"""
ssn_019040_002_0003#0,"""其實這次……也不算是什麼大的事情，<br>是因為唯獨在這個時期，可以在都市裡看到不可思議的全息投影。"""
ssn_019040_002_0004#0,"""它們叫作搗蛋標誌，<br>要是看到了它們，希望你可以跟我說一聲。"""
ssn_019040_002_0005#0,"""現在出現的這些搗蛋標誌，盯著它們看，<br>不知為何心情就會緊張起來。感覺非常的不可思議。"""
ssn_019040_002_0006#0,"""偵測到了發生變異的地方，就只有中央都市內，<br>敵人什麼的是不會出現變化的，所以你可以慢慢去找哦。"""
ssn_019040_002_0007#0,"""當然了，我也是有準備謝禮的。"""
ssn_019040_002_0008#0,"""那就拜託你了。"""
ssn_019040_002_0009#0,"""謝謝你能過來。"""
ssn_019040_002_0010#0,"""希望這次，你也能幫助我們調查搗蛋標誌。"""
ssn_019040_002_0011#0,"""你還記得搗蛋標記吧？<br>指的就是能在都市內看到的，不可思議的全息投影。"""
ssn_019040_002_0012#0,"""這些會在每個時期出現的全息投影，<br>還有很多尚未了解清楚的部分。"""
ssn_019040_002_0013#0,"""雖然我們認為……它們是都市功能的一部分，<br>但到底是哪一個系統在控制，目前還是搞不清楚呢。"""
