name_7428#0,"""유리"""
ssn_014920_0001_001#0,"""레이요르드 협만はとても危険な場所だよ."""
ssn_014920_0001_002#0,"""しっかり寒さを対策してから向かってよね！"""
ssn_014920_0001#0,"""やあ, 레이요르드 협만には行ってみた？"""
ssn_014920_0002#0,"""実はね, ほかにも<br>寒さ対策の方法があったんだ."""
ssn_014920_0003#0,"""ぜひ聞いていってよ."""
ssn_014920_0101#0,"""크바리스で採れる食材を使った<br>“퀵 푸드”は, 身体が温まるよ."""
ssn_014920_0102#0,"""레이요르드 협만に行く前には, <br>必ず食べておいてよね."""
ssn_014920_0201#0,"""そっか…….<br>今は忙しかったかな？"""
ssn_014920_0202#0,"""でも, 레이요르드 협만で活動するなら, <br>知っておいて損はない話だからね."""
ssn_014920_0301#0,"""레이요르드 협만はとても危険なところだけど, <br>そのぶん, 探索し甲斐のある場所なんだ."""
ssn_014920_0302#0,"""いろいろな寒さ対策をして, <br>万全の状態で向かうようにしてね."""
