name_7713#0,"""ラスタ"""
ssn_014510_0001#0,"""今回はありがとうございました。<br>ふたりには、勝手にフラフラしないように注意しておきました。"""
ssn_014510_0002#0,"""でも、あのような通信障害が、<br>頻繁に起こると面倒です。"""
ssn_014510_0003#0,"""なにか機器の性能を上げる方法を考えないと……。"""
ssn_014510_0101#0,"""聞きましたよ。すごい活躍でしたね。<br>あのレヌス・リテムを倒すなんて。"""
ssn_014510_0102#0,"""そんなあなたに、<br>お願いしたいことがあるんです。"""
ssn_014510_0103#0,"""大丈夫です、そんな大変なことじゃないので。<br>引き受けてくれますよね？"""
ssn_014510_0201#0,"""赤色のコンテナの中身を調べてみてください。"""
ssn_014510_0202#0,"""数は、そうですね……、なるべく多めがいいです。<br>あと、リテムにあるものだけを対象に。"""
ssn_014510_0203#0,"""十分なデータが取れたら、またここに来ていただければと。<br>お願いしますね。"""
ssn_014510_0301#0,"""なるほど。都合が悪いですか……。<br>では、次の機会に。"""
ssn_014510_0401#0,"""お帰りなさい。<br>思ったよりも、早かったですね。さすがです。"""
ssn_014510_0402#0,"""ありがとうございます。データも受信できています。<br>これで、なんらかの痕跡や法則が見つかればよいのですが……。"""
ssn_014510_0403#0,"""では早速、解析をしてみます。<br>なにがわかるか、楽しみです。"""
ssn_014510_0501#0,"""受信したデータで、<br>赤色のコンテナの秘密を探っています。"""
ssn_014510_0502#0,"""でも、まだまだ謎が多いですね。<br>設置された時期だけでもわかればよいのですが……。"""
