un_045100_0010#0,"""あ、<%me>！<br>いろいろ協力ありがとうね！"""
un_045100_0020#0,"""おかげで船もバッチリ守れたし<br>修理もカンペキ！\u3000もう大丈夫だよ！"""
un_045100_0030#0,"""見ず知らずの私たちに<br>何から何までお世話してくださって<br>本当に感謝しかありません。"""
un_045100_0040#0,"""せめて何かお礼が出来れば、と<br>エミリアさんと考えているんですが……"""
un_045100_0050#0,"""１．気にしないで"""
un_045100_0060#0,"""２．その言葉で十分だよ"""
un_045100_0070#0,"""は－、その欲のなさ、あたしの<br>パートナーだったヒトそっくり。<br>すごいような、もったいないような……"""
un_045100_0080#0,"""でもね、そっちがお礼不要って言っても<br>こっちは借りがあるって思ってるから！"""
un_045100_0090#0,"""このご恩はかならず返します。<br>困ったことがあったら<br>いつでも呼んでくださいね。"""
un_045100_0100#0,"""もうちょっとしたら帰るつもりだけど<br>ここの座標とかそういうのは<br>まるっと記憶しておいたからさ！"""
un_045100_0110#0,"""いつだって駆けつけられるように、ね！"""
un_045100_0120#0,"""短い期間だったとはいえ<br>あたしたちパートナーだったわけだし！<br>遠慮とか、絶対しなくていいから！"""
un_045100_0130#0,"""本当に、ありがとうございました。"""
un_045100_0140#0,"""ありがとね、本当に。"""
