Title#0,"""擊破移動要塞形機甲種"""
Explanation#0,"""我們接到在莉莉芭行星的採掘場遺跡<br>有機甲種失控的通知消息。<br>並收到該機甲種是和大型戰艦旺達<br>具有相似特徵的飛行型<br>的情報。<br>ARKS各成員請依序往採掘場遺跡出擊。<br>與失控的巨大機甲種交戰並將其擊破。<br><br>――――――――――――――――――――<br>失敗條件／在最深處敗北"""
Title#1,"""移動要塞型機甲種撃破"""
Explanation#1,"""惑星リリーパの採掘場跡にて<br>機甲種が暴走しているとの連絡があった。<br>該当の機甲種は、かのビッグヴァーダーと<br>類似した特徴を持つ飛行型であるとの<br>情報が入っている。<br>アークス各員は、採掘場跡へと順次出撃。<br>暴走した巨大機甲種と交戦し、撃破せよ。<br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""討伐旺達索瑪！"""
SimpleExplanation#1,"""ヴァーダーソーマを討伐せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
