name_7009#0,"""歐蘭潔|オランジェ"""
msn_011064_001_0010#0,"""啊，你們來了。<br>我是歐蘭潔。"""
msn_011064_001_0020#0,"""那讓我們開始吧。"""
msn_011064_001_0030#0,"""你還沒有使用過“食物站”……吧？"""
msn_011064_001_0040#0,"""雖然作為一名ARKS去戰鬥，<br>武器和防具確實不可或缺，但吃飯也是很重要的。"""
msn_011064_001_0050#0,"""保持營養均衡的飲食，<br>也能讓你以更好的狀態，去與DOLLS作戰。"""
msn_011064_001_0060#0,"""而為了達成這個目標呢，還是得先從收集食材做起。<br>恩……不如就親馴種的肉怎麽樣？"""
msn_011064_001_0070#0,"""親馴種，指的是生活在中央都市附近的安分生物。<br>親馴種之中，有多角鹿、陽陽兎、鸚鵡鵡、姆姆水牛以及滔滔水牛之類的呢。"""
msn_011064_001_0080#0,"""我會把大概的位置情報發送過去，<br>你就根據這些情報來找到它們吧。"""
msn_011064_001_0101#0,"""艾亞利奧村那邊真是不幸啊。<br>不過，你們沒事就好。"""
msn_011064_001_0102#0,"""先讓身體休息一下吧。"""
msn_011064_001_0201#0,"""雖然認真對待任務是好事，<br>但也不要太過勉強了。"""
msn_011064_001_0202#0,"""要是出了什麼事，<br>還請將自身的安全放在第一位。"""
