linewindow#0,"""Team"""
text00#0,"""Team"""
text01#0,"""เมื่อถึง Class Level 10 ท่านจะสามารถสร้างทีมได้<br>ทีมเป็นระบบสังคมที่สามารถพูดคุยกับสมาชิกทีมได้ตลอดเวลา<br>แม้ว่าจะอยู่คนละ Block หรือ My Room<br>ท่านสามารถเข้าร่วมทีมได้ก่อนถึงLV 10 หากมีผู้เล่นคนอื่นชวนท่านเข้าทีม"""
text02#0,"""ทุกตัวละครที่อยู่ใน ID เดียวกันและอยู่บน Ship เดียวกันจะอยู่ในทีมเดียวกัน<br><br>สมาชิกทีมทั้งหมดจะมีตำแหน่งซึ่งแสดงอยู่ในรายชื่อสมาชิกทีม"""
text03#0,"""TEAM RANKS<br><yellow>Team Leader<c>: สามารถใช้ระบบทีมได้ทั้งหมด<br><br><yellow>Manager<c>: สามารถใช้ระบบพื้นฐานของทีมและชวนคนอื่นได้<br><br><yellow>Member<c>: สามารถใช้ระบบพื้นฐานของทีมได้<br><br><yellow>Prospect<c>: สมาชิกใหม่ที่ยังไม่ได้รับการรับรองจาก Team Leader สามารถใช้ระบบพื้นฐานของทีมได้"""
text04#0,"""การขยายทีม:<br><br>การขยายทีมจะทำให้ได้รับสิทธิประโยชน์หลายอย่างเช่น Team Room <br>และ Team Storehouse ที่ใช้ร่วมกันกับสมาชิกทีมทั้งหมด"""
text05#0,"""การขยายทีมจะทำให้ได้รับสิทธิประโยชน์หลายอย่างเช่น Team Room <br>และ Team Storehouse ที่ใช้ร่วมกันกับสมาชิกทีมทั้งหมด"""
text06#0,"""ท่านต้องใช้ Team Point ในการขยายทีม<br>ซึ่งจะได้รับจากการทำ Order<br><br>ท่านสามารถรับ Order ได้ที่ Team Counter <br>ซึ่งสามารถรับ Order หรือรับรางวัลจากตัวละคร<br>ใดก็ได้ใน Ream Room ข้างใน ARKS Counter"""
text07#0,"""ตัวเลือกการขยายจะปลดล็อคเมื่อLVของทีมเพิ่มขึ้น"""
linewindow#1,"""<br>『チーム』について<br>"""
text00#1,"""『チーム』について"""
text01#1,"""いずれかのクラスレベルが１０以上になるとチームを作れます。<br><br>チームとは１つのコミュニティのことで、<br>同じチームメンバー同士であれば、チームチャットを使って<br>違うブロックやマイルームにいても連絡をとることができます。<br><br>クラスレベルが１０に達していなくても<br>他の人に誘ってもらうことで、チームに所属することもできます。"""
text02#1,"""同じSEGA ID、同じシップのキャラクターは、<br>全て同じチームに所属することになります。<br><br>チームメンバーは役職が１つ割り当てられます。<br>役職はチームメンバー一覧で確認することができます。"""
text03#1,"""【チームの役職】<br><yellow>チームマスター<c>\u3000…チームの全機能を使用できます。<br><br><yellow>マネージャー<c>\u3000\u3000 …基本的な機能の他、他の人をスカウトできます。<br><br><yellow>コモンメンバー<c>\u3000…チームの基本的な機能を使用できます。<br><br><yellow>ビジター<c>\u3000\u3000\u3000\u3000\u3000\u3000…チームマスターに承認される前の仮加入状態です。<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000チームの基本的な機能を使用できます。"""
text04#1,"""チームの拡張について説明します。<br><br>新たにチームの要素に拡張機能が実装されました。<br>チームを拡張すると専用のルームを所持したり<br>チーム用の倉庫をメンバーで共有できたりします。"""
text05#1,"""また、チームを拡張すると専用のルームを所持したり<br>チーム用の倉庫をメンバーで共有できたりします。"""
text06#1,"""チームを拡張するには、チームポイントが必要です。<br>チームポイントはオーダーを達成することで獲得します。<br><br>オーダーはチームカウンターで受注することができます。<br>アークスカウンター内、チーム専用ルームの<br>どちらのキャラクターでも受注・報告が可能です。"""
text07#1,"""チームレベルが上昇すると拡張できることも増えます。<br>メンバーで協力し、より強く個性的なチームを目指しましょう。"""
