msc_012240_0010#0,"""あ……いた。"""
msc_012240_0020#0,"""黙って席を外してごめんなさい。外の空気を吸いたくて……。"""
msc_012240_0040#0,"""ここは、このハルファは……過酷な場所ね。<br>本当に……残酷で、無慈悲な場所……。"""
msc_012240_0050#0,"""マノン……？"""
msc_012240_0060#0,"""ただ、生きるためだけでも……。<br>多くのアークスが、ドールズと戦って、死んでいく。"""
msc_012240_0070#0,"""それは、“弔いの歌”……知っていたのか？"""
msc_012240_0080#0,"""ナーデレフ……。"""
msc_012240_0090#0,"""どうしたのだ？"""
msc_012240_0100#0,"""戦いの記録を見ていて……、<br>気がついたら来ていたの……。"""
msc_012240_0110#0,"""リテムリージョンは……昔から戦いが絶えないのね……。<br>多くの人が犠牲になってきた……。"""
msc_012240_0120#0,"""………。"""
msc_012240_0130#0,"""今度戦いになれば……また犠牲が出る。<br>そう思うと……。"""
msc_012240_0140#0,"""あなたはどうしてここに？"""
msc_012240_0150#0,"""……大きな戦いの時には必ず来る。<br>死んだ仲間を想い……弔いの歌を歌うためにな。"""
msc_012240_0160#0,"""………。"""
msc_012240_0170#0,"""そして心に誓うのだ……もう犠牲は出さないと。"""
msc_012240_0180#0,"""だが……これが現実だ。"""
msc_012240_0190#0,"""私一人が強くなっても……全員を守ることはできない。"""
msc_012240_0200#0,"""私に「歌」の力があれば……。<br>これほど多くの仲間を失わずに済んだはずだ。"""
msc_012240_0210#0,"""私が力ないばかりに……。"""
msc_012240_0220#0,"""違うっ！"""
msc_012240_0230#0,"""悪いのはあなたじゃないわ……。<br>悪いのは、本当に悪いのは……。"""
msc_012240_0240#0,"""ごめんなさい。大声出して……さっきのは忘れて。"""
msc_012240_0250#0,"""歌の……力……。"""
msc_012240_0260#0,"""これは……。"""
msc_012240_0270#0,"""そうか！\u3000……わかった！"""
msc_012240_0280#0,"""さっきまで調べてたデータ、過去のリーダーたちの……。<br>あなたの力はそれとは違う……そう！\u3000別の力だったんだ！\u3000"""
msc_012240_0290#0,"""……？"""
msc_012240_0300#0,"""あなたの本当の力は……！"""
