IncidentName#0,"""擊敗$(0)"""
TrialBeginMsg#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
TrialAbstract#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
TrialAbstract#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
NpcComOnBegin#0,"""附近有Arks正在交戰！<br>火速與對方會合，互相協助<br>擊退附近一帶的敵人！"""
NpcComOnSuccess#0,"""辛苦了！<br>我認為你們配合得很好！"""
NpcComOnFailure#0,"""雖然遺憾，但也是沒辦法的。<br>前來救援的Arks由我這邊<br>進行回收。"""
NpcComOnDownA#0,"""你們合作得似乎並不順利。<br>不要忘了必須互相協助。"""
NpcComOnDownB#0,"""對方承受了相當大<br>的負擔。下次失敗時<br>我必須建議對方撤退。"""
NpcComOnDownPB#0,"""$(0)<br>承受了極大的負荷。<br>下次無法戰鬥時必須強制回收。"""
NpcComOnBeginP1#0,"""$(0)的<br>輔助同伴<br>遭到敵人襲擊了！"""
NpcComOnBeginP2#0,"""請消滅周圍的敵人<br>以確保安全。"""
NpcComOnFailureP#0,"""雖然遺憾，但也無可奈何。<br>$(0)會由<br>我這邊來回收，使其返回據點。"""
NpcComOnBegin#1,"""近辺に交戦中のアークスが居ます！<br>至急合流し、協力して<br>周囲一帯の敵を撃退して下さい！"""
NpcComOnSuccess#1,"""/face2 お疲れ様でした！<br>いい協力関係だったと思います！"""
NpcComOnFailure#1,"""/face4 残念ですが、仕方がありません。<br>対象のアークスは、こちらで<br>回収します。"""
NpcComOnDownA#1,"""連携がうまくいっていないようです。<br>互いに協力を忘れないで下さい。"""
NpcComOnDownB#1,"""対象のアークスに多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnDownPB#1,"""$(0)に<br>多大な負荷がかかっています。<br>次の戦闘不能時には強制回収します。"""
NpcComOnBeginP1#1,"""$(0)の<br>サポートパートナーが<br>エネミーに襲われています！"""
NpcComOnBeginP2#1,"""周囲のエネミーを排除し<br>安全を確保してください。"""
NpcComOnFailureP#1,"""/face4 残念ですが仕方ありません。<br>$(0)は<br>こちらで回収し、帰還させます。"""
