Title#0,"""魔神城戦"""
Explanation#0,"""異世界オメガに存在する魔神城が活性化。<br>かの世界で戦乱が起こっています。<br>オメガへ向かい、魔神城を撃破しましょう。<br>魔神城の結界を突破するための兵器<br>「破界鎚」が鍵になる戦いですよ！<br>頑張りましょう、守護輝士！<br>――――――――――――――――――――<br>制限時間の経過でクエスト終了<br>敵の戦力ゲージを０にするか<br>制限時間経過時に残量が上回っていれば勝利"""
StoryExplanation#0,"""ハリエット達の前に単独で姿を見せた<br>剣の巫女アリサとの対面もつかの間<br>ルツの奸計により、陣近くの草原に<br>魔神城が出現する。"""
Title#1,"""クエント中央平原の戦い"""
Explanation#1,"""ハリエット達の前に単独で姿を見せた<br>剣の巫女アリサとの対面もつかの間<br>ルツの奸計により、陣近くの草原に<br>魔神城が出現する。<br>――――――――――――――――――――<br>制限時間の経過でクエスト終了<br>敵の軍勢ゲージを０にするか<br>制限時間経過時に残量が上回っていれば勝利"""
SimpleExplanation#0,"""魔神城を撃破せよ！"""
OnQuestBegin_0#0,"""敵軍、攻撃準備に入った模様！<br>今のうちに兵器セットの選択と<br>マナの回収を進めましょう！"""
OnQuestBegin_1#0,"""マナを溜めるとアークス兵器が<br>強化され、召喚する破界鎚の数が<br>増えるなどの恩恵がありますよ！"""
OnDefencePhase1Start0#0,"""敵軍の侵攻を確認！<br>破界塔を守りつつ、可能な限り<br>マナを回収して下さい！"""
OnDefencePhase1Start1#0,"""敵軍、再度侵攻開始！<br>マナを一定量回収するごとに<br>破界塔が自動で回復しますよ！"""
OnDefencePhase1Start2#0,"""敵軍、再侵攻開始！<br>破界塔を壊されないよう殲滅しつつ<br>マナの回収をお願いします！"""
OnDefencePhase2Start0#0,"""大変です！\u3000破界塔に向けて<br>敵軍が侵攻を開始しました！<br>一旦後退し、防衛に専念して下さい！"""
OnDefencePhase2Start1#0,"""再度敵軍が侵攻を開始！\u3000結界は<br>突破しましたが、破界塔を壊されたら<br>勝機はありません！注意して下さい！"""
OnDefencePhase3Start0#0,"""魔神城から強力な反応を確認！<br>破界塔を狙った攻撃のようです！<br>確実に阻止して下さい！"""
OnDefencePhase3Start1#0,"""再び魔神城から強力な反応……！<br>魔神城の攻撃を阻止し<br>破界塔を防衛して下さい！"""
OnAttackPhase1Start0#0,"""破界鎚、召喚完了！<br>敵軍から破界鎚を護衛し<br>障壁を壊しましょう！"""
OnAttackPhase1Start1#0,"""破界鎚、召喚完了！<br>敵軍の攻撃から破界鎚を守り<br>残った障壁を壊しましょう！"""
OnAttackPhase1Start2#0,"""破界鎚を召喚しました！<br>今度こそ敵の障壁を突破しましょう！"""
OnAttackPhase2Start0#0,"""全障壁の破壊に成功！<br>あとは魔神城を倒すだけです！<br>まずは腹部のコアを攻撃しましょう！"""
OnAttackPhase2Start1#0,"""魔神城は、一定時間ごとに<br>破界塔に向けてレーザーを放ちます！<br>早急にコアを破壊してください！"""
OnAttackPhase3Start0_0#0,"""魔神城を攻撃するために<br>左右の階段から中央の橋上に<br>移動して下さい！"""
OnAttackPhase3Start0_1#0,"""今度も魔神城は、一定時間ごとに<br>強力なレーザーを放ってきます！<br>急ぎ撃破を！"""
OnAttackPhase3Start1#0,"""再び防衛機構に登り<br>魔神城の弱点部へ向かってください！"""
OnDefencePhase1End0#0,"""敵軍の制圧を確認！<br>破界鎚を召喚中です。今のうちに<br>進軍の準備をお願いします！"""
