msc_041020_0010#0,"""やあ。来てくれたね、キミたち。"""
msc_041020_0020#0,"""っ……！<br>どうして、オルタレルムにいたあんたがここに……!?"""
msc_041020_0030#0,"""……ううん、違う。<br>この感じ……あいつじゃない。"""
msc_041020_0040#0,"""キミが、ルーシアだね。<br>驚かせてしまったのなら、すまない。"""
msc_041020_0050#0,"""僕はクロフォード。キミたちがオルタレルムで見た“僕”ではないよ。<br>本物の、このセントラルシティのリーダーだ。"""
msc_041020_0060#0,"""まずはキミたちに、前回の任務についての感謝を伝えたい。<br>危険な任務だったにも関わらず、キミたちは無事に帰還してくれた。"""
msc_041020_0070#0,"""でも、調査隊のみんなは……助けられなかった……。"""
msc_041020_0080#0,"""その件は、僕の見通しが甘かった。オルタレルムの特異性を<br>十分に見極める前に、彼らをあの地へ送り出してしまった。僕の責任だ。"""
msc_041020_0090#0,"""キミたちの報告書を、読ませてもらったよ。<br>調査隊を襲ったのは、彼らの姿を模倣したスターレスであり、そして……"""
msc_041020_0100#0,"""……その中に、“僕の姿をした者”がいた、ということもね。"""
msc_041020_0110#0,"""正直に言うと……その報告を聞いた瞬間、<br>強い恐怖と嫌悪を感じたよ。"""
msc_041020_0120#0,"""本当にそっくりだった。"""
msc_041020_0130#0,"""本物とは少し違った。"""
msc_041020_0140#0,"""そうか……キミが見ても、<br>それほどまでに見分けがつかなかったのか。"""
msc_041020_0150#0,"""なるほど、身近な者からすれば<br>多少なりとも違いを感じることはできるのか……。"""
msc_041020_0160#0,"""アークスの姿を模倣した敵……。<br>彼らの狙いは、一体何なのかしら。"""
msc_041020_0170#0,"""仮に、彼らを“模倣体”と呼ぶとしよう。スターレスが、模倣体を使って<br>何をしようとしているのかまでは、まだわからない。"""
msc_041020_0180#0,"""だが、新たな脅威は確実に動き出している。<br>これまで以上に、慎重に臨む必要があるだろう。"""
msc_041020_0190#0,"""さて……もうひとつ。今日はキミたちに伝えておきたいことがある。<br>ルーシア君のことだ。"""
msc_041020_0200#0,"""私のこと？"""
msc_041020_0210#0,"""ああ。ここからは、ファリア君に説明してもらおう。<br>お願いできるかい？"""
msc_041020_0220#0,"""はい、わかりました。"""
msc_041020_0230#0,"""あなたたちがオルタレルムでの任務から帰還した後、<br>ルーシアについて、調査を行いました。"""
msc_041020_0240#0,"""……データ照合対象、ルーシア。全てのアークス、並びに<br>セントラルシティの住民や、ルシエランの生体データと比較。"""
msc_041020_0250#0,"""結果は……該当者なし。いずれのデータベースにも、<br>ルーシアと同一と思われる生体データは存在しませんでした。"""
msc_041020_0260#0,"""存在……しない？"""
msc_041020_0270#0,"""はい。<br>ルーシア、あなたは“どこにもいない人物”ということです。"""
msc_041020_0280#0,"""そんな……！"""
msc_041020_0290#0,"""……キミが、オルタレルムで彼らを助けたことは把握しているし、<br>もちろんそのことに感謝もしている。"""
msc_041020_0300#0,"""だが、キミが何者なのか、今の段階では何ひとつ明らかになっていない。<br>組織として、そうした存在を、無条件に行動させるわけにはいかないんだ。"""
msc_041020_0310#0,"""だからキミには、当面のあいだ、<br><%me>たちと常に行動を共にしてもらう。"""
msc_041020_0320#0,"""……それって、私を監視する、ってこと？"""
msc_041020_0330#0,"""そう受け取っても構わない。<br>これは、アークスという集団が安全を保つうえで、必要なことだ。"""
msc_041020_0340#0,"""いずれキミのことが明らかになれば、この判断も変えられるかもしれない。<br>だからこそ……今は冷静に、この措置を受け入れてほしい。"""
msc_041020_0350#0,"""……何よそれ。<br>まるで、私が敵だって言ってるみたいじゃない。"""
msc_041020_0360#0,"""私は、思い出さなきゃいけないの。<br>自分が誰だったのか……何をしなきゃいけなかったのか……！"""
msc_041020_0370#0,"""ずっと空っぽのままで、ここに立ち止まってるなんて、<br>そんなの……耐えられないっ！"""
msc_041020_0380#0,"""ルーシア！"""
msc_041020_0390#0,"""追いかけよう！"""
msc_041020_0400#0,"""すまない。彼女を頼む。<br>キミたちの言葉ならば、きっと耳を傾けられるはずだ。"""
