EquipNoteCheckSheet#0,"""シートを確認"""
EquipNoteDeleteSheet#0,"""シートを破棄"""
EquipNoteClearCoolTime#0,"""シートを再入手<pict StarGem>"""
EquipNoteExtendHaveSheet#0,"""シート所持数拡張<pict StarGem>"""
EquipNoteOffTime#0,"""配信期限なし"""
DeleteYesNoTitle#0,"""シート破棄"""
DeleteYesNoMsgOnTime#0,"""<pict $(0)>$(1) のシートを破棄します。<c><br><br><red>※シート内の「必要アイテム」のゲージも<br>\u3000すべてリセットされます。<c><br><br>本当によろしいですか？"""
DeleteYesNoMsgOffTime#0,"""<pict $(0)>$(1) のシートを破棄します。<br><br><red>※シート内の「必要アイテム」のゲージも<br>\u3000すべてリセットされます。<c><br><yellow>※配信期間が終了しているため、<br>\u3000再入手はできません。<c><br><br>よろしいですか？"""
DeleteSuccessMsg#0,"""<pict $(0)>$(1) のシートを破棄しました。"""
TopMenu_Empty#0,"""装備管理官から入手可能"""
TopMenu_EmptyGray#0,"""<gray>装備管理官から入手可能<c>"""
TopMenu_EmptyByPremium#0,"""<pict Arcscash><gray>プレミアムで拡張可能<c>"""
TopMenu_EmptyByTicket#0,"""<pict StarGem><gray>ＳＧで拡張可能<c>"""
TopMenu_EmptyByPremiumClosable#0,"""プレミアム有効期間中<pict Arcscash><br>または公認ネットカフェからログイン中に<br>拡張されるシートです。"""
TopMenu_EmptyByTicketClosable#0,"""装備管理官の「コレクトファイル」から<br>SGで「シート所持数拡張」を購入することで<br>拡張されるシートです。"""
TopMenu_SheetName#0,"""<pict $(0)>$(1) のシート"""
TopMenu_SheetNameExpired#0,"""<red><c><pict $(0)><red>$(1) のシート<c>"""
SheetNum_InfoDefault#0,"""<gray>所持数未拡張<c>"""
SheetNum_InfoPremiumEnable#0,"""<pict Arcscash><yellow>プレミアム拡張2枚<c>"""
SheetNum_InfoPremiumOver#0,"""<red>プレミアム期限切れ<c>"""
SheetNum_InfoPremiumNetCafe#0,"""<green>公認ネットカフェ特典拡張2枚<c>"""
SheetNum_InfoAdd#0,""" + $(0)"""
SheetNum_InfoTicketEnable#0,"""<pict StarGem><c 00ffff>SG拡張$(0)枚<c>"""
SheetNum_OrderNum#0,"""$(0)枚進行中"""
SheetNum_CurrentNum#0,""" （$(0)/$(1)）"""
SheetNum_CurrentNum_Equal#0,""" （<c ff9c70>$(0)/$(1)<c>）"""
SheetNum_CurrentNum_Over#0,""" （<c ff0000>$(0)/$(1)<c>）"""
Toast_ExpiredSheet#0,"""このシートは配信期間が終了しています。"""
Title_SheetDetail#0,"""シート詳細"""
Title_SheetDetailQuestInfo#0,"""ドロップ情報"""
Title_itemDetail#0,"""アイテム詳細"""
SheetDetail_Reward#0,"""報酬アイテム"""
SheetDetail_Target#0,"""必要アイテム"""
SheetDetail_Quest#0,"""以下のクエストで対象エネミーが多く出現します"""
SheetDetail_QuestSpecify#0,"""以下のクエストでのみゲージが上昇します"""
SheetDetail_DropEnemy#0,"""対象エネミー"""
SheetDetail_SheetGet#0,"""このシートを入手する"""
SheetDetail_Back#0,"""戻る"""
SD_Closable_Title#0,"""コレクトファイル"""
SD_Closable_Message#0,"""<pict $(0)>$(1) のシートを入手しました。"""
SD_Closable_Error_01#0,"""シートを取得できませんでした。"""
Quest_None#0,"""無し"""
Quest_Level#0,"""Lv.$(0)～"""
Enemy_None#0,"""無し"""
Enemy_All#0,"""すべてのエネミー"""
Target_Rate#0,"""$(0).$(1)%"""
GetRewardMessage#0,"""報酬アイテム「<yellow>$(0)<c>」を獲得！"""
GetRewardMessage2#0,"""コレクトシートの目標を達成し、<br>「<pict $(0)>$(1)」 ★$(2) を獲得しました。"""
GetRequireMessage#0,"""必要アイテム「<yellow>$(0)<c>」がドロップ！"""
EquipNoteError_Title#0,"""コレクトファイル"""
EquipNoteError_IllegalParam#0,"""エラーが発生しました。<br><br>時間をおいて再度お試しください。"""
EquipNoteError_DB#0,"""問題が発生しました。<br><br>時間をおいて再度お試しください。"""
EquipNoteError_MaxSheet#0,"""これ以上、シートを入手できません。<br>他のシートを破棄してから<br>ふたたび入手してください。"""
EquipNoteError_Payment#0,"""所持SGが不足しています。"""
EquipNoteError_ExpiredSheet#0,"""シートの配信期間が終了しています。"""
EquipNoteError_RequirePremium#0,"""エラーが発生しました。<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>プレイ環境の時刻設定が誤っていないか<br>お確かめください。"""
EquipNoteError_MaxExtendHaveSheetByTicket#0,"""シート所持数の拡張はすでに上限数となっているため<br>これ以上の拡張はできません。"""
EquipNote_ClearCoolTimeTitle#0,"""アイテム購入確認"""
EquipNote_ClearCoolTimeMessage#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(1)」を購入すると、<br>すぐに <pict $(0)>$(2) のシートを、<br>再入手できます。<br><br>「$(1)」の購入画面に<br>進みますか？"""
EquipNote_ClearCoolTimeMessage2#0,"""以下のアイテムを$(0)SGで購入します。<br>よろしいですか？<br><br>（所持SG：$(1)）"""
EquipNote_ClearCoolTimeSuccessTitle#0,"""コレクトファイル"""
EquipNote_ClearCoolTimeSuccessMessage#0,"""<pict $(0)>$(1) のシートの<br>クールタイムをリセットし再入手しました。"""
EquipNote_ClearCoolTimeItem#0,"""シートクールタイムリセット"""
EquipNote_TitleSheetInfo#0,"""シート情報"""
EquipNote_TitleTimeInfo#0,"""配信期間"""
EquipNote_CoolTime#0,"""クールタイム"""
EquipNote_CoolTime_Free#0,"""-"""
EquipNote_CoolTime_Wait#0,"""このシートは<br><red>$(0)<c><br>まで入手できません。<br>（スタージェムでリセット可能）"""
EquipNote_CoolTime_None#0,"""シートがありません。"""
EquipNote_CoolTime_SheetExpired#0,"""このシートは配信期間が終了しているため<br>シートの入手、再入手を行うことができません。"""
EquipNoteClearCoolTimeOnly#0,"""シートをリセット<pict StarGem>"""
EquipNote_ClearCoolTimeOnlyMessage#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(1)」を購入すると、<br><pict $(0)>$(2) のシートの<br>クールタイムをリセットします。<br><br><red>※これ以上、シートを入手できないため<br>\u3000再入手は行われません。<br>\u3000他のシートを破棄してから別途入手してください。<c><br><br>「$(1)」の購入画面に<br>進みますか？"""
EquipNote_ClearCoolTimeOnlySuccessMessage#0,"""<pict $(0)>$(1) のシートの<br>クールタイムをリセットしました。"""
DirectBuyTicket_Title#0,"""アイテム購入確認"""
DirectBuyTicket_Msg1Seq1#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(0)」を購入すると、<br>シート所持数の上限が１つ拡張されます。<br>（最大 $(1)つまで拡張可能）<br><br>「$(0)」の購入画面に<br>進みますか？"""
DirectBuyTicket_Msg1Seq2#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>シート所持数が上限に達しているため、<br>これ以上シートを入手することができません。<br><br>SGで「$(0)」を購入すると<br>この上限を増やすことができます。<br>購入画面に進みますか？"""
DirectBuyTicket_Msg2#0,"""以下のアイテムを$(0)SGで購入し、<br>シート所持数の上限を1つ拡張します。<br>よろしいですか？<br><br>（所持SG：$(1)）"""
DirectBuyTicketSuccess_Title#0,"""コレクトファイル"""
DirectBuyTicketSuccess_Msg#0,"""コレクトファイルのシート所持数を<br>1つ拡張しました。"""
DirectBuyTicketItem#0,"""シート所持数拡張"""
