name_7629#0,"""リラーサ"""
ssn_019090_004_0001#0,"""ああ、シトレーの話？"""
ssn_019090_004_0002#0,"""あのときは、もう大変だったんだよ。"""
ssn_019090_004_0003#0,"""オダンゴをトラックで運んでたら、<br>突然ドールズが襲ってきてさ。"""
ssn_019090_004_0004#0,"""私は、積み荷を守ろうとしたんだけど、<br>こっちにまで攻撃が飛んできてね。"""
ssn_019090_004_0005#0,"""コンテナが壊れて、<br>積み荷の一部が、飛び散っちゃって。"""
ssn_019090_004_0006#0,"""慌てて回収しようとしたんだけど、<br>敵の攻撃が続いててさ。"""
ssn_019090_004_0007#0,"""そのあいだに、積み荷のほうで、<br>なんか“小さい”のがごそごそしてた気がするけど……。"""
ssn_019090_004_0008#0,"""で、落ち着いてから確認したら、<br>オダンゴのケースがちょっと減ってたってわけ。"""
ssn_019090_004_0009#0,"""もー、参っちゃったよねー。"""
ssn_019090_004_0010#0,"""あなたもアークスね？"""
ssn_019090_004_0011#0,"""毎日、しっかり食べてる？"""
ssn_019090_004_0012#0,"""トラック壊すと、<br>怒られるのよねー。"""
ssn_019090_004_0013#0,"""少し壊れたくらいなら、<br>直せるみたいだけど。"""
