msc_040020_0010#0,"""来てくれて助かるよ。<br>キミたちが揃うのは、久々だね。"""
msc_040020_0020#0,"""うん、久しぶりに<%me>や<br>マノンと一緒の任務で、あたしも嬉しいよ！"""
msc_040020_0030#0,"""私もよ。けれど……どうやら、<br>ゆっくりと再会を喜ぶような状況ではなさそうね。"""
msc_040020_0040#0,"""察しがいいね、その通りだ。<br>早速本題に移ろう。"""
msc_040020_0050#0,"""キミたちも、ある程度は知っていると思うが……<br>“オルタレルム”に関することだ。"""
msc_040020_0060#0,"""しばらく前に発見された未知の領域で、アークスの中にも<br>すでに任務で訪れたことのある者は多い。"""
msc_040020_0070#0,"""うん、知ってる。<br>でも詳しいことは、まだわかっていないんだよね。"""
msc_040020_0080#0,"""オルタレルムは、突如現れた空間の裂け目<br>“ディメンションリッパー”を通して、ハルファと繋がっている。"""
msc_040020_0090#0,"""スターレスと何らかの関係があるのは、ほぼ確かだ。<br>だからこそ、慎重に探索を進めていたんだが……。"""
msc_040020_0100#0,"""……数時間前、調査隊との連絡が途絶えた。"""
msc_040020_0110#0,"""その後、彼らからの連絡は？"""
msc_040020_0120#0,"""スターレスによる襲撃？"""
msc_040020_0130#0,"""残念ながら、ない。<br>最後の報告の後、何度も通信を試みたが、応答はないままだ。"""
msc_040020_0140#0,"""その可能性は十分にある。<br>スターレスとの関連が強く疑われる領域だからね。"""
msc_040020_0150#0,"""だが、調査隊からの定時報告では、<br>周囲にスターレスの姿は確認されていなかったようだ。"""
msc_040020_0160#0,"""調査隊は、状況に応じて撤退するよう指示されていた。"""
msc_040020_0170#0,"""それでも消息を絶ったということは、<br>何か異常事態が起きた可能性が高い。"""
msc_040020_0180#0,"""単純に通信が途絶えただけならいいけれど……<br>この状況だと、そう楽観的には考えにくいわね。"""
msc_040020_0190#0,"""調査隊から最後に送られてきた通信記録には、<br>こう記されている。"""
msc_040020_0200#0,"""……「この場所は、おかしい。」と。"""
msc_040020_0210#0,"""本来なら、通常の救援部隊を送るところだが、<br>今回は一刻を争う事態だと判断した。"""
msc_040020_0220#0,"""そこでキミたちに、調査隊の捜索と、<br>オルタレルムの異変の確認を任せたい。"""
msc_040020_0230#0,"""準備ができたら、すぐに出発してほしい。<br>みんな、頼んだよ。"""
