PB#0,"""光子爆發"""
AA#0,"""自動操作"""
TA#0,"""啟動動作"""
Level#0,"""Lv."""
LevelFormat#0,"""Lv.$(0)"""
Confirm#0,"""確認"""
NotifyAcquirePB#0,"""$(0)學會了光子爆發"""
PB#1,"""フォトンブラスト"""
AA#1,"""オートアクション"""
TA#1,"""トリガーアクション"""
Level#1,"""Lv."""
LevelFormat#1,"""Lv.$(0)"""
Confirm#1,"""確認"""
NotifyAcquirePB#1,"""$(0)がフォトンブラストを習得しました"""
Title#0,"""瑪古列表"""
Command1#0,"""授予道具"""
Command2#0,"""使用裝置"""
Command3#0,"""裝備"""
Command4#0,"""卸下裝備"""
Command5#0,"""啟動動作優先度"""
Command6#0,"""確認行動"""
Command7#0,"""使用瑪古形態變更票券"""
Title#1,"""マグ一覧"""
Command1#1,"""アイテムを与える"""
Command2#1,"""デバイスを使う"""
Command3#1,"""装備する"""
Command4#1,"""装備を外す"""
Command5#1,"""トリガーアクション優先度"""
Command6#1,"""アクション確認"""
Command7#1,"""マグ形態変更パスを使う"""
Title#2,"""瑪古資訊"""
Energy#0,"""能源"""
EnergyParcent#0,"""$(0)％"""
SupportLevel#0,"""支援等級"""
Support1#0,"""打擊支援"""
Support2#0,"""射擊支援"""
Support3#0,"""法擊支援"""
Support4#0,"""技量支援"""
Support5#0,"""打擊防禦支援"""
Support6#0,"""射擊防禦支援"""
Support7#0,"""法擊防禦支援"""
mag_color_change#0,"""不可變更瑪古顏色"""
Detail_Vita#0,"""瑪古詳細內容"""
TA_No0#0,"""0"""
TA_No1#0,"""1"""
TA_No2#0,"""2"""
TA_No3#0,"""3"""
TA_No4#0,"""4"""
TA_No5#0,"""5"""
TA_No6#0,"""6"""
TA_No7#0,"""7"""
TA_No8#0,"""8"""
TA_No9#0,"""9"""
Title#3,"""マグ情報"""
Energy#1,"""エネルギー"""
EnergyParcent#1,"""$(0)％"""
SupportLevel#1,"""支援レベル"""
Support1#1,"""打撃支援"""
Support2#1,"""射撃支援"""
Support3#1,"""法撃支援"""
Support4#1,"""技量支援"""
Support5#1,"""打撃防御支援"""
Support6#1,"""射撃防御支援"""
Support7#1,"""法撃防御支援"""
mag_color_change#1,"""マグカラー変更不可"""
Detail_Vita#1,"""マグ詳細"""
TA_No0#1,"""0"""
TA_No1#1,"""1"""
TA_No2#1,"""2"""
TA_No3#1,"""3"""
TA_No4#1,"""4"""
TA_No5#1,"""5"""
TA_No6#1,"""6"""
TA_No7#1,"""7"""
TA_No8#1,"""8"""
TA_No9#1,"""9"""
Title#4,"""授予瑪古的道具"""
Indicate#0,"""<c f0df60>請選擇要授予瑪古的道具。<c>"""
Msg1#0,"""授予$(0)<br>您確定嗎？"""
Msg2#0,"""這個道具的稀有等級是7以上。<br>確定要給瑪古嗎？"""
FeedMsg#0,"""已授予$(0)"""
Error1#0,"""以上道具無法授予。<br>請稍候重試。"""
MessageTitle#0,"""授予道具"""
ErrorTitle#0,"""授予道具"""
Title#5,"""マグに与えるアイテム"""
Indicate#1,"""<c f0df60>マグに与えるアイテムを選んでください。<c>"""
Msg1#1,"""$(0)を与えます。<br>よろしいですか？"""
Msg2#1,"""このアイテムはレアリティ７以上です。<br>本当にマグに与えてよろしいですか？"""
FeedMsg#1,"""$(0)を与えました。"""
Error1#1,"""これ以上アイテムを与えることはできません。<br>一定時間経過後に再度お試しください。"""
MessageTitle#1,"""アイテムを与える"""
ErrorTitle#1,"""アイテムを与える"""
Title#6,"""授予瑪古裝置"""
Indicate#2,"""<c f0df60>請選擇要授予瑪古的裝置。<c>"""
IndicateCC#0,"""<c f0df60>請選擇要變更的瑪古顏色。顯示實際時間。<c>"""
Msg1#2,"""使用$(0)<br>您確定嗎？"""
MsgCC#0,"""使用$(0)，<br>變更瑪古的顏色。您確定嗎？"""
OverwriteMsgPB#0,"""標記以下的光子爆發。<br>您確定嗎？"""
OverwriteMsgAA#0,"""標記以下的自動行動。<br>您確定嗎？"""
OverwriteMsgTA#0,"""標記以下的啟動動作。<br>您確定嗎？"""
OverwriteMsgCraftTA#0,"""生產裝置只可設定一項。<br>標記以下的啟動動作。<br>您確定嗎？"""
OverwriteMsgTAList#0,"""請選擇標記的啟動動作。"""
OverwriteListTitle#0,"""標記的啟動動作"""
ChangeLooksMsg#0,"""可授予瑪古進化裝置<br>讓他如同以下樣貌進化。<br>您確定嗎？"""
ChangeLooksMsg1#0,"""給予瑪古進化裝置，<br>使其進行以下進化。<br>確定嗎？<br><br><yellow>※曾使用過的進化裝置。<br>\u3000可從「使用瑪古形態變更票券」變更形態。<c>"""
UseDeviceMsg#0,"""已使用$(0)。"""
ResetDeviceMsg#0,"""瑪古恢復成初期狀態。<br>是否確定使用？"""
Error#0,"""$(0)無法使用。"""
ErrorHT#0,"""瑪古等級達到Lv.100之前無法使用。"""
ErrorCraftDevice#0,"""生產裝置只可設定一項。"""
ErrorLevelCap#0,"""等級成長已經達到上限<br>故無法使用。"""
ErrorAddTA#0,"""本項裝置已無法使用。"""
ErrorNoColorChange#0,"""本裝置無法變更指定瑪古的顏色<br>故無法使用。"""
ErrorNonEquip#0,"""若本裝置無裝備在指定瑪古身上<br>故無法使用。"""
ErrorMeaningless#0,"""本裝置的效果已經套用完畢。<br>故無法使用。"""
ColorTitle#0,"""選擇瑪古顏色"""
ConfirmTitle#0,"""確認使用裝置"""
MessageTitle#2,"""使用裝置"""
ErrorTitle#2,"""使用裝置"""
Title#7,"""マグに与えるデバイス"""
Indicate#3,"""<c f0df60>マグに与えるデバイスを選んでください。<c>"""
IndicateCC#1,"""<c f0df60>変更したいマグの色を選んでください。リアルタイムに反映されます。<c>"""
Msg1#3,"""$(0)を使用します。<br>よろしいですか？"""
MsgCC#1,"""$(0)を使用して、<br>マグの色を変更します。よろしいですか？"""
OverwriteMsgPB#1,"""以下のフォトンブラストを上書きします。<br>よろしいですか？"""
OverwriteMsgAA#1,"""以下のオートアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgTA#1,"""以下のトリガーアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgCraftTA#1,"""生産系デバイスは一つしか設定できません。<br>以下のトリガーアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgTAList#1,"""上書きするトリガーアクションを選んでください。"""
OverwriteListTitle#1,"""トリガーアクションの上書き"""
ChangeLooksMsg#1,"""マグに進化デバイスを与えて<br>以下のように進化させます。<br><br>また、使用したことがない進化デバイスの場合、<br>「マグ形態変更パスを使う」で選択できるようになります。<br>よろしいですか？"""
ChangeLooksMsg1#1,"""マグに進化デバイスを与えて<br>以下のように進化させます。<br>よろしいですか？<br><br><yellow>※使用したことがある進化デバイスです。<br>\u3000「マグ形態変更パスを使う」から形態を変更する<br>\u3000こともできます。<c>"""
UseDeviceMsg#1,"""$(0)を使用しました。"""
ResetDeviceMsg#1,"""マグを初期状態に戻します。<br>本当に使用しますか？"""
Error#1,"""$(0)を使用できませんでした。"""
ErrorHT#1,"""マグがLv.100になるまで使用できません。"""
ErrorCraftDevice#1,"""生産系デバイスは一つしか設定できません。"""
ErrorLevelCap#1,"""レベル成長限界に到達しているため<br>使用できません。"""
ErrorAddTA#1,"""このデバイスは、これ以上使用できません。"""
ErrorNoColorChange#1,"""このデバイスは、対象のマグがカラー変更不可のため<br>使用できません。"""
ErrorNonEquip#1,"""このデバイスは、対象のマグを装備していない場合<br>使用できません。"""
ErrorMeaningless#1,"""このデバイスによる効果は、既に適用済みです。<br>使用できません。"""
ColorTitle#1,"""マグカラー選択"""
ConfirmTitle#1,"""デバイス使用確認"""
MessageTitle#3,"""デバイスを使う"""
ErrorTitle#3,"""デバイスを使う"""
Title#8,"""變更板機動作優先度"""
Indicate#4,"""如想變更變更板機動作優先度，請先選擇要變更的指定項目。"""
Msg1#4,"""顯示變更的優先度。<br>您確定嗎？"""
Msg2#2,"""板機動作優先度已變更。"""
Error1#2,"""板機動作優先度無法變更。"""
MoveTargetMsg#0,"""移動到優先度 $(0)"""
Update#0,"""更新"""
ConfirmTitle#2,"""確認變更板機動作的優先度"""
Title#9,"""トリガーアクション優先度変更"""
Indicate#5,"""優先度を変更したいトリガーアクションを選んで変更先を指定してください。"""
Msg1#5,"""優先度の変更を反映します。<br>よろしいですか？"""
Msg2#3,"""トリガーアクション優先度を変更しました。"""
Error1#3,"""トリガーアクション優先度を変更できませんでした。"""
MoveTargetMsg#1,"""優先度$(0)に移動"""
Update#1,"""更新"""
ConfirmTitle#3,"""トリガーアクション優先度変更確認"""
Title#10,"""確認行動"""
TANumber#0,"""$(0)"""
Title#11,"""アクション確認"""
TANumber#1,"""$(0)"""
Msg1#6,"""瑪古已裝備完成。"""
Msg2#4,"""卸除瑪古。"""
Error1#4,"""無法裝備瑪古。<br><br>[No.2200]"""
Error2#0,"""無法卸除瑪古。<br><br>[No.2201]"""
Msg1#7,"""マグを装備しました。"""
Msg2#5,"""マグを外しました。"""
Error1#5,"""マグを装備できませんでした。<br><br>[No.2200]"""
Error2#1,"""マグを外せませんでした。<br><br>[No.2201]"""
ListTitle#0,"""使用瑪古形態變更票券"""
Indicate#6,"""<c f0df60>使用馬古型態變更票券，可以變更成曾經使用進化裝置變身過的型態。請選擇要變更的型態。<c>"""
EmptyList#0,"""沒有已登錄的形態。"""
PopupMenuChangeFigure#0,"""變更為這個形態"""
PopupMenuRegisterFavorite#0,"""登錄我的最愛"""
PopupMenuCancelFavorite#0,"""解除我的最愛"""
ChangeFigureConfirm#0,"""使用瑪古形態變更票券，<br>變更形態為「$(0)」。<br>確定嗎？<br><br>瑪古形態變更票券（持有：$(1)）"""
SortItemFavorite#0,"""我的最愛"""
SameFigureError#0,"""因與目前形態相同，<br>無法選擇。"""
LevelError#0,"""瑪古等級100前無法變更形態。"""
ChangeFigurePassError#0,"""沒有瑪古形態變更票券<br>無法執行。"""
FavoriteMaxError#0,"""已達到我的最愛登錄數上限20個，<br>無法登錄。"""
ChangeFigureResult#0,"""使用票券變更為「$(0)」。"""
RegisterFavoriteResult#0,"""登錄到我的最愛。"""
CancelFavoriteResult#0,"""從我的最愛解除。"""
ChangeFigureError#0,"""無法變更形態。"""
RegisterFavoriteError#0,"""無法登錄到我的最愛。"""
RegisterFavoriteMaxError#0,"""已達到我的最愛登錄數上限20個，<br>無法登錄。"""
CancelFavoriteError#0,"""我的最愛無法解除登錄。"""
RegisterFigure#0,"""登錄瑪古的形態。"""
ChangeFigureConfirmTitle#0,"""確認使用許可證"""
Vita_ChangeFigureConfirm#0,"""使用瑪古形態變更票券，<br>變更形態為「$(0)」？<br>瑪古形態變更票券（持有：$(1)）"""
ListTitle#1,"""マグ形態変更パスを使う"""
Indicate#7,"""<c f0df60>マグ形態変更パスを使用し、使用したことのある進化デバイスの形態に変更することができます。変更する形態を選んでください。<c>"""
EmptyList#1,"""登録されている形態がありません。"""
PopupMenuChangeFigure#1,"""この形態に変更する"""
PopupMenuRegisterFavorite#1,"""お気に入り登録する"""
PopupMenuCancelFavorite#1,"""お気に入り解除"""
ChangeFigureConfirm#1,"""マグ形態変更パスを使用し、<br>「$(0)」に形態を変更します。<br>よろしいですか？<br><br>マグ形態変更パス（所持：$(1)）"""
SortItemFavorite#1,"""お気に入り"""
SameFigureError#1,"""現在と同じ形態であるため、<br>選択することができません。"""
LevelError#1,"""マグがレベル１００になるまで形態を変更できません。"""
ChangeFigurePassError#1,"""マグ形態変更パスがないため<br>実行することができません。"""
FavoriteMaxError#1,"""お気に入り登録数が上限の20件に<br>達しているため、登録することができません。"""
ChangeFigureResult#1,"""パスを使用して「$(0)」に変更しました。"""
RegisterFavoriteResult#1,"""お気に入りに登録しました。"""
CancelFavoriteResult#1,"""お気に入り登録を解除しました。"""
ChangeFigureError#1,"""形態を変更できませんでした。"""
RegisterFavoriteError#1,"""お気に入り登録できませんでした。"""
RegisterFavoriteMaxError#1,"""お気に入り登録数が上限の20件に<br>達しているため、登録することができません。"""
CancelFavoriteError#1,"""お気に入り登録を解除できませんでした。"""
RegisterFigure#1,"""マグの形態を登録しました。"""
ChangeFigureConfirmTitle#1,"""パス使用確認"""
Vita_ChangeFigureConfirm#1,"""マグ形態変更パスを使用し、<br>「$(0)」に形態を変更しますか？<br>マグ形態変更パス（所持：$(1)）"""
