name01#0,"""卡林"""
name01#1,"""カリン"""
skit01#0,"""嗯！完成啦！<br>達成所有舞台的任務了！<br>好的情報堆積如山！"""
skit02#0,"""啊，同時，下次<br>從第一個舞台開始！<br>請小心！ """
skit03#0,"""會送很多魔石原石<br>作為禮物<br>下次也請努力！"""
skit04#0,"""總而言之！\u3000這次也<br>依舞台委託達成數<br>獲得道具了！"""
skit05#0,"""請從極限任務裝置<br>選擇自己喜歡的。<br>那麼，辛苦了！"""
skit06#0,"""之後，為了換別的魔石<br>或許需要觸媒等，服務服務！<br>當成禮物！"""
text01#0,"""從卡林那裡收下了4個『<%skit_text>』。"""
text02#0,"""從卡林那裡收下了『<%skit_text>』。"""
text03#0,"""從卡林那邊領取了15個『<%skit_text>』。"""
text04#0,"""從卡林那邊領取了25個『<%skit_text>』。"""
skit01#1,"""うわーい、やりましたね！<br>全ステージのクリア達成ですよ！<br>いいデータもてんこもり！"""
skit02#1,"""ああ、ちなみに次回は<br>最初のステージから開始です！<br>気をつけて下さいね！ """
skit03#1,"""そのかわりに、魔石の原石を<br>たくさんプレゼントしちゃうので<br>次回も頑張ってくださいね！"""
skit04#1,"""なにはともあれ！\u3000今回も<br>ステージオーダー達成数に応じた数の<br>アイテム、持ってっちゃえー！"""
skit05#1,"""エクストリーム端末から<br>好きなの選んで下さいね。<br>ではでは、お疲れ様でした！"""
skit06#1,"""あと、別の魔石に変換するための<br>触媒なんかもサービスサービス！<br>おまけで持ってけー！"""
text01#1,"""カリンから『<%skit_text>』を４つ受け取りました。"""
text02#1,"""カリンから『<%skit_text>』を受け取りました。"""
text03#1,"""カリンから『<%skit_text>』を１５個受け取りました。"""
text04#1,"""カリンから『<%skit_text>』を２５個受け取りました。"""
