name01#0,"""シエラ"""
text01#0,"""さすがです！"""
text02#0,"""ファントムは<br>基本ＰＡとシフトＰＡを組み合わせた<br>戦い方が大切ですよ！"""
text03#0,"""では次に、「テクニックアタック」の<br>訓練をしましょう！"""
text04#0,"""ファントムでは<br>ロッド装備中にテクニックを使用すると<br>自動的に追加攻撃が発動します！"""
text101#0,"""課題３：<yellow>ロッドのテクニックアタックをエネミーに当てる"""
train_title#0,"""課題３：<yellow>ロッドのテクニックアタックをエネミーに当てる"""
tut_title#0,"""テクニックアタックについて"""
text100#0,"""・<%SubPalette1>を押しテクニックアタックを<br>\u3000エネミーに当てる"""
text101#1,"""・<%SubPalette>を押しテクニックアタックを<br>\u3000エネミーに当てる"""
text102#0,"""サブパレットのアイコンをタッチして<br>テクニックアタックをエネミーに当てる"""
