un_020680_0010#0,"""โอ้ เจ้าเองเรอะ<br>รู้รึเปล่าว่าเค้าประกาศให้บริเวณนี้<br>เป็นเขตอันตรายแล้วนะ?"""
un_020680_0020#0,"""......อะไรนะ ไม่มีใครติดต่อมาเลย?<br>เจ้าหน้าที่ข่าวสารทำหน้าที่บกพร่องงั้นรึ......<br>น่าสมเพช มันเป็นเรื่องที่ไม่ควรเกิดขึ้น"""
un_020680_0030#0,"""มีคำสั่งให้ Three Victors ออกมาคอยประจำ<br>การแล้ว ส่วน ARKS คนอื่นๆ ก็ให้ออกมา<br>เฝ้าระวังพื้นที่ไว้ ......แต่ก็ยังไม่เจออะไร"""
un_020680_0040#0,"""ตอนนี้เลยกลายเป็นว่านโยบายที่ออกมา<br>ไม่สอดคล้องกับสภาพความเป็นจริง<br>จนอาจกลายเป็นเรื่องใหญ่ทีหลังก็ได้"""
un_020680_0050#0,"""แต่ว่าในเวลาแบบนี้แหละ<br>ที่พวกเราควรจะต้องร่วมมือกันและ<br>ถ้าอะไรมันขาดไปก็ต้องช่วยกันเสริม"""
un_020680_0060#0,"""สมัยก่อนข้าเองก็เคยอยู่หน่วยข่าวกรอง<br>ผ่านอะไรต่อมิอะไรด้วยตัวเองมาก็เยอะ<br>แต่ว่าถึงจะอย่างนั้น......"""
un_020680_0010#1,"""おお、君か。<br>今この近辺が警戒区域に指定されて<br>いることは聞いているな？"""
un_020680_0020#1,"""……何、連絡がなかった？<br>情報連絡の不徹底か……情けない。<br>あってはならんことだ。"""
un_020680_0030#1,"""三英雄には待機勧告が出ているが<br>他のアークスは警戒のため出撃中。<br>……足並みも揃っていないな。"""
un_020680_0040#1,"""ちぐはぐな方針や情報の不備は<br>時に大きな失策を生む。<br>よくない状態だ。"""
un_020680_0050#1,"""だがこういうときこそ<br>我々が相互に連絡を取り合い<br>不足を絆で補い合うべきだろう。"""
un_020680_0060#1,"""私も昔は情報収集を怠り<br>単機での突撃を多く繰り返していた。<br>しかしそれでは…………"""
