un_020630_0010#0,"""ฟัน ฟัน ฟัน! เอ้าฟันอีกที ฮึบ!<br>อ๊า โธ่เอ๊ย! ฟันเท่าไหร่ๆ<br>ก็ไม่จบถึงส่วนที่กำหนดไว้ซักที!"""
un_020630_0020#0,"""เอ๊ะ อ้าว มาตั้งแต่เมื่อไหร่เนี่ย<br>ว่าไง ขอโทษนะทีทักทายช้า"""
un_020630_0030#0,"""ตอนนี้น่ะเหรอ? กำลังฝึกใช้ Katana อยู่ไง<br>ชั้นน่ะยังอ่อนประสบการณ์ ก็เลยจำเป็นที่<br>จะต้องมานั่งฝึกซ้ำๆ อย่างนี้แหละ"""
un_020630_0040#0,"""ยิ่งกว่านั้นชั้นก็สัญญากับ Regius ไว้แล้วด้วย<br>ว่าถ้าจะทำก็ต้องทำให้จนถึงที่สุด น่ะ"""
un_020630_0050#0,"""ชั้นต้องไล่ตามก้มหัวอ้อนวอนขอให้เค้า<br>สอนวิธีการใช้เจ้านี่อยู่ทุกวันแถมยังสัญญา<br>จนในที่สุดเค้าก็ยอมจนได้"""
un_020630_0060#0,"""พูดไป นิสัยส่วนพื้นฐานของเค้าก็เป็นคน<br>ค่อนข้างบริสุทธิ์และเลือดร้อนมาก<br>จึงไม่ค่อยเก่งด้านควบคุมอารมณ์......"""
un_020630_0070#0,"""เอาเถอะ เพื่อตอบแทนความตั้งใจ<br>ของ Regius ที่ยอมฟังคำขอร้อง<br>และช่วยสอนชั้น ชั้นต้องพยายาม!"""
un_020630_0080#0,"""......แต่บทเรียนส่วนที่กำหนดไว้ใน<br>แต่ละวันมันก็โหดซะจนชั้นอยากจะ<br>กรีดร้องดังๆ แล้วนะเนี่ย"""
un_020630_0010#1,"""斬、斬、斬！\u3000もいっちょ斬、っと！<br>あーもー、やってもやっても<br>ノルマが終わらなーい！"""
un_020630_0020#1,"""ってあらら、いつのまに。<br>ちわっす、挨拶おくれてごめんね。"""
un_020630_0030#1,"""今の？\u3000カタナの鍛錬だよ。<br>わたしのはまだまだナマクラだから<br>反復練習欠かせないんだよー。"""
un_020630_0040#1,"""それに、レギアスとも約束したしね。<br>やるからには徹底的に極める、って。"""
un_020630_0050#1,"""毎日追いかけて、これの扱いを<br>教えてくれーって頭下げ続けて<br>約束して、ようやく折れたからねー。"""
un_020630_0060#1,"""というか、あの人も根っこの部分が<br>かなーり純粋な熱血漢だから<br>一途な情熱に弱いみたい……"""
un_020630_0070#1,"""ま、わたしの願いを聞き入れて<br>指導してくれたレギアスの意気に<br>応えるために、努力は不可欠！"""
un_020630_0080#1,"""……日課のノルマがきつくて<br>さっそく音を上げそうなわたしが<br>今ここにいるんだけどね。"""
