un_059070_0010#0,"""先代ーっ！"""
un_059070_0020#0,"""わっ、クラリスクレイスちゃん。<br>いきなり抱きついてきたら危ないよ？"""
un_059070_0030#0,"""二代目ちゃんを先代って呼ぶってことは<br>あの子が三代目かな？"""
un_059070_0040#0,"""あ、資料はちょこちょこ見てるから<br>何があったか、だいたい知ってるよ。"""
un_059070_0050#0,"""それにしても、二代目ちゃんがいて<br>三代目がいるってのも面白い。"""
un_059070_0060#0,"""そうなると、今のこの場は<br>三代が揃い踏みってことになるね。<br>とっても貴重な瞬間じゃない？"""
un_059070_0070#0,"""おーい、<%me>。<br>ひとりでぶつぶつと<br>何をやっているんだ？"""
un_059070_0080#0,"""そういえば、わたしはアルマって名前で<br>二代目ちゃんはマトイって名前だよね。<br>三代目ちゃんの名前って何だろう？"""
un_059070_0090#0,"""名前……？"""
un_059070_0100#0,"""先代、突然何言ってるんだ？<br>名前がどうかしたのか？"""
un_059070_0110#0,"""ああ、えっと、アルマさんが……<br>……って、見えないんだった。"""
un_059070_0120#0,"""アルマ？"""
un_059070_0130#0,"""知ってるぞ、私！<br>先代の先代の名前だろ、それ！"""
un_059070_0140#0,"""おっ、有名人？"""
un_059070_0150#0,"""よく勉強してるね<br>クラリスクレイスちゃん。"""
un_059070_0160#0,"""ふふん、先代の先代がアルマだろ。<br>先代はマトイ、だもんな。"""
un_059070_0170#0,"""では<%me>！<br>私の名前は、何だと思う？"""
un_059070_0180#0,"""名前、あるの？"""
un_059070_0190#0,"""わからない"""
un_059070_0200#0,"""そうだな。私の経緯を考えれば<br>そう思うのも無理はない……<br>だが、あるのだ！"""
un_059070_0210#0,"""ふふん、そうだろうそうだろう！<br>なにせ、未公開情報だからな！"""
un_059070_0220#0,"""この前カスラが、虚空機関の<br>資料を漁って見つけてくれたんだ。"""
un_059070_0230#0,"""私の名は、イリスという！"""
un_059070_0240#0,"""イリス、ちゃん？"""
un_059070_0250#0,"""うむ！\u3000IRis-Sみたいな感じだったから<br>たぶん個体番号か何かだろうけど<br>まあ、もうそれが名でいいだろ。"""
un_059070_0260#0,"""ヒューイも、良い名前だって<br>言ってくれたしな。"""
un_059070_0270#0,"""ということで、<%me>も<br>先代も、私がクラリスクレイスじゃ<br>なくなったら、イリスと呼ぶように。"""
un_059070_0280#0,"""もっとも、まだまだ<br>クラリスクレイスの名前を<br>譲る気はないぞ。"""
un_059070_0290#0,"""先代と、先代の先代がくれた名だ。<br>この名前を継いでいることも<br>私の誇りだからな。"""
un_059070_0300#0,"""ほんと……とっても強い子だね。<br>名前を受け継いでもらった<br>クラリスクレイスも、きっと喜ぶよ。"""
