st_064100_0010#0,"""……ヴァルナ。<br>やはり、貴方なのですね。"""
st_064100_0020#0,"""……ハリエット様。<br>お待ちしておりました。"""
st_064100_0030#0,"""え、え？\u3000ええっ？<br>アンタ、ハリエットの副官よね？<br>どうしてそんなところにいんの？"""
st_064100_0040#0,"""違います、マルガレータ。<br>今のヴァルナは……私達の敵です。"""
st_064100_0050#0,"""はぁ！？\u3000敵！？<br>アイツ、ハリエットに<br>めっちゃ忠誠誓ってたじゃない！？"""
st_064100_0060#0,"""それが、大義のために<br>必要なことだった。それだけです。"""
st_064100_0070#0,"""大義のため……って……<br>アンタ、ハリエットを助けるために<br>あんなに必死だったじゃない！"""
st_064100_0080#0,"""それもこれもぜーんぶ、嘘だった<br>演技だったとでも言うわけ！？"""
st_064100_0090#0,"""……マルガレータ様。<br>すでにその問答は終わっております。"""
st_064100_0100#0,"""我が主は、終の女神・シバ。<br>ただ一人のみ。<br>私は主の道を阻むものを排除する。"""
st_064100_0110#0,"""それが、義の男神・ヴァルナの使命。"""
st_064100_0120#0,"""だったら。だったらさあ。<br>そんな自分に言い聞かせるような<br>喋り方するんじゃないわよ。"""
st_064100_0130#0,"""……！"""
st_064100_0140#0,"""そっくりよ、アンタ。<br>心操でいいようにされてた<br>ウチの前国王の取り巻きに。"""
st_064100_0150#0,"""アンタとは大して絡んじゃいないけど<br>それでもそんな顔してなかったと覚えてる。<br>もっと人間味のある顔をしてたハズよ。"""
st_064100_0160#0,"""ヴァルナ……"""
st_064100_0170#0,"""我が主……究極存在、シバを支える。<br>そのために、影の存在たるミトラと<br>いかなる令にも従う、私が作られた。"""
st_064100_0180#0,"""だがその使命果たせないまま<br>私達は世界より排斥された……"""
st_064100_0190#0,"""その存在、たとえ虚空へ封印されようと<br>……我らは共に在りて。"""
st_064100_0200#0,"""今に舞い戻りしこの時こそ<br>主の望むがままに、その命を為す！<br>それこそが義であり、忠節である！"""
st_064100_0210#0,"""ならば、私が貴方を止めましょう。<br>かつて共に歩んだ者として。"""
