TrialName#0,"""短時狭域エネミー掃討"""
TrialBeginMsg#0,"""制限時間内にエネミーを殲滅せよ！"""
TrialAbstract#0,"""制限時間内に全てのエネミーを倒す"""
Toast_AddTimeLimitWaveClear#0,"""エネミー殲滅！<br><yellow>制限時間増加：$(0)秒<c>"""
Toast_WaveClear_11300060_01#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_02#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_03#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_04#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_05#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_06#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_07#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_08#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300060_09#0,"""エネミー殲滅！<br>強力なエネミー反応あり！"""
Toast_WaveClear_11300070_01#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_02#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_03#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_04#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_05#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_06#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_07#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_08#0,"""エネミー殲滅！<br>さらに多数のエネミー反応あり！"""
Toast_WaveClear_11300070_09#0,"""エネミー殲滅！<br>強力なエネミー反応あり！"""
NpcComOnBegin#0,"""エネミーの出現を確認！<br>できる限り早く、殲滅を頼む。"""
NpcComOnFirstAddTime#0,"""エネミー撃破の影響で、<br>撤退までわずかに猶予が生まれたようです。"""
NpcComOnWaveClear#0,"""更なる敵性反応を確認しました！<br>戦闘に備えてください！"""
NpcComOnSuccessByTimeOver#0,"""……敵の攻勢が止んだな。<br>なんとか防ぎきれたみたいだ。協力、ありがとうな。"""
NpcComOnSuccess#0,"""エネミーの殲滅を確認！<br>任務完了だ。協力、ありがとうな！"""
