11_voice_NPC_5027_108#0,"""เฮ้อ...ไม่อยากไปเลย<br>ถ้าอยู่ๆแขนขาหักขึ้นมาก็ดีสินะ<br>จะได้ไม่ต้องออกไปทำภารกิจ"""
11_voice_NPC_5027_108#1,"""……はぁ、行きたくないなぁ。<br>いっそのこと大怪我でもすれば<br>任務とか受けなくていいんだろうなぁ。"""
11_voice_NPC_5027_106#0,"""ทำไมคนอื่นเค้าถึงขยันทำงานกันนักนะ<br>ข้าไม่เข้าใจเลยจริงๆ."""
11_voice_NPC_5027_106#1,"""皆さん、どうしてそんなに<br>やる気に満ち満ちているんでしょうね。<br>ぼくには理解できませんよ……"""
11_voice_NPC_5027_104#0,"""เฮ้อ...วิทยาการก็ก้าวหน้าขนาดนี้แล้ว<br>ทำไมยังไม่มีใครคิดค้นวิธีถ่ายโอนความสามารถ<br>ได้สำเร็จได้ซักทีนะ..."""
11_voice_NPC_5027_104#1,"""はぁ……これだけ技術あるんだし<br>才能を譲渡する方法とかも<br>作り出してほしいですよね……"""
11_voice_NPC_5027_104#2,"""ก็ไม่ได้อยากมาเป็น ARKS หรอก<br>แต่คนอย่างข้าก็เป็นได้แต่ ARKS เท่านั้นล่ะนะ"""
Theodor_04_020#0,"""ถ้าคนที่เค้าอยากเป็น ARKS แต่ทำยังไงก็ไม่ได้เป็น<br>มาเจอข้าคงไม่รู้จะดาข้ายังไงดีแน่ๆ..."""
11_voice_NPC_5027_104#3,"""アークスになりたくなかったけど<br>アークスにしかなれなかった、ぼく。"""
Theodor_04_020#1,"""アークスになりたくても<br>なれなかった人から見てみれば<br>いらいらするんですよね、きっと……"""
11_voice_NPC_5027_102#0,"""วิธีคัดเลือกคนเข้ามาเป็น ARKS เนี่ย<br>ทำไมถึงมั่วอย่างงี้นะ"""
11_voice_NPC_5027_102#1,"""……アークスになるための適性って<br>どうして無作為なんでしょうね。<br>どうして、彼女が……"""
11_voice_NPC_5027_104#4,"""เอ่อ...ทำไมท่านต้องต่อสู้ด้วยล่ะ?<br>...อ่อเปล่า ไม่ต้องตอบก็ได้ ลืมไปซะเถอะ"""
11_voice_NPC_5027_104#5,"""あの……貴方はどうして戦うんですか？<br>……ああいえっ、今の質問ナシです<br>気にしないでください。"""
11_voice_NPC_5027_105#0,"""เฮ้อ...อ๊ะ ขอโทษที่ถอนหายใจ<br>เปล่า เมื่อกี้พึ่งโดนว่ามาเพราะข้าไม่สนใจจะทำภารกิจน่ะ"""
Theodor_07_020#0,"""คนอย่างนั้นเหมาะสมที่จะมาเป็น ARKS มากกว่าข้าแท้ๆ...<br>...แต่ทำไมข้าถึงได้มาเป็นก็ไม่รู้"""
11_voice_NPC_5027_105#1,"""はぁ……あ、ため息ついてすみません。<br>いえ、やる気がなさすぎると<br>友人から叱咤されてしまいまして……"""
Theodor_07_020#1,"""あれぐらい傍若無人な方が<br>アークスとして相応しいんだろうな……<br>……ぼくはなんでアークスなんだろう。"""
11_voice_NPC_5027_105#2,"""เหตุผลที่ต้องสู้...ก็พูดยากนะ<br>มันไม่ง่ายที่จะหาคำตอบมาตอบใครได้ทุกวันหรอกนะ"""
11_voice_NPC_5027_105#3,"""戦う理由って……難しいですよね。<br>後付けで抱くには、重すぎます。"""
11_voice_NPC_5027_100#0,"""...สงสัยข้าคงใกล้จะบ้าแล้ว<br>คิดอะไรก็หาคำตอบที่เข้าท่าไม่ได้<br>แถมมันยังวนเวียนไม่ยอมออกไปจากสมองซักที"""
11_voice_NPC_5027_100#1,"""……ぼくはもう少しバカになります。<br>いろいろ考えすぎてもよくないって<br>身にしみてわかってきたので。"""
11_voice_NPC_5027_102#2,"""...เหตุผลที่ต้องสู้ ข้าเจอแล้วล่ะ<br>ในที่สุดคนอย่างข้า ก็หาคำตอบเจอซักที"""
Theodor_10_020#0,"""ข้าจะไม่ให้อภัยมัน...<br>อย่างเด็ดขาด...!"""
11_voice_NPC_5027_102#3,"""……戦う理由、見つけました。<br>見つかりましたよ、ぼくにも。"""
Theodor_10_020#1,"""絶対に……<br>許さない……！"""
11_voice_NPC_25_103#0,"""... ที่เหมาะสม เพียงแค่ทำลายทุกอย่าง"""
11_voice_NPC_25_103#1,"""……そうだ、全てを壊せばいいんだ。"""
11_voice_NPC_25_103#2,"""...ใช่แล้ว แค่ทำลายมันทิ้งให้หมดก็พอแล้วนี่"""
11_voice_NPC_25_103#3,"""……そうだ、全てを壊せばいいんだ。"""
11_voice_NPC_25_103#4,"""...ใช่แล้ว แค่ทำลายมันทิ้งให้หมดก็พอแล้วนี่"""
11_voice_NPC_25_103#5,"""……そうだ、全てを壊せばいいんだ。"""
