11_voice_NPC_5021_102#0,"""ARKS หลายคนในสมัยนี้ ลืม <br>Upgrade Elemental Attributes items!<br>เราไม่ควรปล่อยให้เป็นแบบนั้น"""
text02#0,"""ถ้าท่านหลอมรวมอาวุธที่ท่านได้มาเข้าด้วยกัน <br>ท่านจะได้รับอาวุธใหม่ที่มีคุณภาพดีเยี่ยม <br>และจะอยู่คู่กับท่านไปอีกนาน"""
text03#0,"""แล้วท่านล่ะ? ท่านน่าจะอัพเกรด<br>ในขณะที่เรากำลังคุยกันอยู่นะ"""
text04#0,"""อัพเกรดอะไรเหรอ? ก็ Weapon elements ของท่านไง!<br>ไม่ฟังเลยเหรอ! จงใช้ Synthesizer ของท่านที่ Item Lab"""
text05#0,"""เอ้า ยังมัวรออะไรอยู่อีก? <br>ตั้งใจฟังหน่อย แล้วไปอัพเกรดได้แล้ว<br>เข้าใจมั้ย?"""
text100#0,"""อัพเกรด Element"""
text101#0,"""ท่านสามารถอัพเกรด Weapon elements ได้ที่ Item Lab<br>การอัพเกรดจะเพิ่มพลังของ Element ในอาวุธเป็นอย่างมาก"""
text102#0,"""ท่านต้องการสิ่งเหล่านี้ในการอัพเกรด:<br>- Meseta<br>- An Elemental Synthesizer<br>- A component weapon<br><br>ท่านสามารถอัพเกรด Element ของอาวุธเช่น ไฟ น้ำแข็ง <br>โดยการใช้อาวุธที่มีธาตุเดียวกันกับอันที่ท่านต้องการอัพเกรดเพื่อเพิ่มพลังของมัน"""
linewindow#0,"""ท่านได้รับ Elemental Synthesizer"""
11_voice_NPC_5021_102#1,"""昨今のアークスは、愛用品の属性強化を<br>行おうとしない者が多すぎる！<br>たるんでいると言わざるを得ん！"""
text02#1,"""自ら集めた武器と武器の融合……<br>そうして得られた新たな武器こそ<br>真の相棒たり得るというのに……！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐやってくるといい！"""
text04#1,"""何を、って、決まっているだろう。<br>ラボで愛用品の強化だ！<br>シンセサイザーを用いての強化だ！"""
text05#1,"""さあ、さあ、やってきてくれ！<br>そう難しいことではないはずだ！<br>私の不安を払拭してくれ！"""
text100#1,"""『属性強化』について"""
text101#1,"""『属性強化』について、説明します。<br><br>アイテムラボの施設で、武器の属性を強化することが可能です。"""
text102#1,"""属性強化に必要なのは、以下の３種類です。<br>\u3000・メセタ<br>\u3000・シンセサイザー<br>\u3000・素材武器<br><br>武器の属性（炎や氷など）を強化できます。<br>同じ属性の素材を使うと、より属性値が上がります。"""
linewindow#1,"""『シンセサイザー』を入手しました。"""
