a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""ホワイトデーは大わらわ2020"""
Explanation#0,"""惑星アムドゥスキア、壊世区域の<br>ホワイトデーイベント会場周辺で<br>多数の凶暴なエネミーが突如出現し<br>会場へ急接近中との報告が入った。<br>設営中の人員に被害が及ばないよう<br>アークス各員は準備ができ次第出撃し<br>会場周辺の安全を確保せよ。<br>――――――――――――――――――――<br>クリア可能回数/3回<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""まもなく転送を開始します。<br>今回の目的は、壊世区域に出現した<br>多数のエネミーの撃退です。"""
NpcComMsg2#0,"""確認されたエネミーの反応は<br>イベント会場になおも接近中。<br>早急な対応が求められます。"""
NpcComMsg3#0,"""会場周辺へ先行したアークスたちは<br>すでに交戦中とのことです。<br>協力して事態の鎮圧をお願いします！"""
SimpleExplanation#0,"""最深部を目指せ！"""
