Find#0,"""/toge さぁさぁ！\u3000ボクと勝負するニャウ！"""
Appeal#0,"""さぁー、もっとあつくニャれニャウ！"""
AttackBegin#0,"""ついてこれるかニャウ！"""
Attack#0,"""ここニャウッ！"""
Attack2#0,"""くーらーえーニャウッ！"""
Reaction0#0,"""/mn24 そ……そんニャこと言われたら恥ずかしいニャウ……"""
Reaction1#0,"""/mn29 ニャウー、ほっぺが熱くニャっちゃうニャウッ"""
Reaction2#0,"""/mn37 と、突然ニャんてことをいうニャウ……"""
Reaction3#0,"""/mn38 ニャニャー、ニャウニャウゥー"""
Damage#0,"""ニャウゥッ"""
Attack2Miss#0,"""ニャウッ"""
Tumble#0,"""/moya {red}武器{def}が……！"""
Dead#0,"""ニャウー……"""
DeadEnd#0,"""/mn2 も、もう無理ニャウー！"""
PunchSurprise#0,"""/toge /mn22 ニャウウゥー？！"""
PunchCry#0,"""/mn1 ニャ……ニャ……"""
Punch#0,"""/toge /mn12 ニャウウウウウウウーーー！！"""
PunchEnd#0,"""/mn2 ニャウウー……誰か助けてニャウー！"""
