name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ..."""
11_voice_shop_414#0,"""ปฏิบัติภารกิจ ExtremeQuest<br><c bb0000>[Extreme Training: Tundra and Mechs]<c><br>ให้สำเร็จ"""
text03#0,"""แต่การจะรับ ClientOrder นี้ได้ <br>ท่านจำเป็นต้องมี ClassLevel <br>เท่ากับ 50 หรือมากกว่าเท่านั้นนะ"""
text04#0,"""ข้าเองก็ไม่ทราบรายละเอียดเกี่ยวกับ ExtremeQuest"""
text05#0,"""เหมือนมันถูกสร้างขึ้นมาโดยคนอื่น...<br>ที่ข้าเองก็ไม่ทราบว่าเป็นใคร..."""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""エクストリームクエスト<br><c bb0000>「極限訓練：凍土と機甲」<c>を<br>クリアすることです。"""
text03#1,"""受注するための条件に<br>クラスレベル５０以上とありますので<br>ご注意下さい。"""
text04#1,"""エクストリームクエストについては<br>私も詳しいことは知らされていません。"""
text05#1,"""他人事のようになってしまいますが<br>……ずいぶんと特異な仕組みを<br>作り上げたものだなと、思います。"""
