ssc_012030_5010#0,"""What the?"""
ssc_012030_0010#0,"""Emergency announcement! We are currently preparing for a large-scale operation in the Aelio Region. All ARKS, please prepare to sortie."""
ssc_012030_5020#0,"""What's going on?"""
ssc_012030_0020#0,"""Are you reading me? It hasn't been confirmed yet, but we just picked up a signal that looks like it could be Dark Falz."""
ssc_012030_0030#0,"""I'm currently readying the Central Cannon. Please make your own preparations and be ready to intercept at a moment's notice."""
ssc_012030_5030#0,"""He said Dark Falz!"""
ssc_012035_5040#0,"""To your stations, immediately!"""
ssc_012030_0040#0,"""Did you hear that?! It might be Dark Falz!"""
ssc_012030_0050#0,"""Indeed. We were contacted over here as well."""
ssc_012030_0060#0,"""We'll definitely... definitely take him down! Together!"""
ssc_012030_0070#0,"""...Yes, we will."""
ssc_012030_0080#0,"""Are you two ready for this?"""
ssc_012030_0090#0,"""I'm always ready. What about you, Aina?"""
ssc_012030_0100#0,"""I'm, um... almost ready..."""
ssc_012030_0110#0,"""Hehe."""
ssc_012030_0120#0,"""You should make sure you're ready too, okay!"""
