name_7008#0,"""ロッサ"""
ssn_014120_0001#0,"""だいぶ、板についてきたみたいじゃないか。"""
ssn_014120_0002#0,"""そんなあんたに、頼みたいことがあるんだけど、<br>聞いてくれるか？"""
ssn_014120_0101#0,"""それじゃ、さくっと話すぜ。"""
ssn_014120_0102#0,"""ハルファには、<br>コンテナがあちこちに置いてあるだろ。"""
ssn_014120_0103#0,"""アークスが、作戦行動中に放棄したものだったり、<br>誰かが置いていったものだったり……。"""
ssn_014120_0104#0,"""ほかにも、地中から出て来たり、<br>空から降って来たり……いろいろあるけどよ。"""
ssn_014120_0105#0,"""そのなかに、ほかのものとは色の違う、<br>特別なコンテナがあるのは気づいてるか？"""
ssn_014120_0106#0,"""誰が置いたのかわからない、<br>ハルファ七不思議のひとつなんだよ。"""
ssn_014120_0107#0,"""その調査を、あんたにも手伝ってほしいんだ。<br>出来る限り多くのコンテナを探してくれ。"""
ssn_014120_0108#0,"""片っ端から見つけて、中身を確かめるだけ。<br>な？\u3000簡単だろ？"""
ssn_014120_0109#0,"""じゃあ、頼んだぜ！"""
ssn_014120_0201#0,"""そっか……。<br>気が向いたら話しかけてくれよな。"""
ssn_014120_0301#0,"""あんた、着実に力をつけてるな。<br>頼もしいぜ。"""
ssn_014120_0302#0,"""クロフォードも感心してるみたいだしな。<br>まあ、その調子で頑張ってくれよな！"""
ssn_014120_0401#0,"""うーん……。<br>さすがに今回の任務は厳しそうだな。"""
ssn_014120_0402#0,"""でもまあ、あんたなら大丈夫さ！<br>こっちもしっかりサポートするからな！"""
ssn_014120_0403#0,"""じゃ、よろしく！"""
