text01001#0,"""……俺はアギト。"""
11_voice_NPC_5584_202#0,"""用がないなら話しかけるな。<br>……用があるのなら、俺ではなく<br>そこの白い女に声をかけるんだな。"""
11_voice_NPC_5584_200#0,"""杯を片手に月を眺める……<br>たまには、そんな時間もいいもんだ。"""
text02002#0,"""酔えば一時、頭が空になる。<br>その空虚さはきらいじゃない。"""
text03001#0,"""俺はオロチアギトを殺す。<br>そのために生きている。"""
11_voice_NPC_5584_103#0,"""オロチアギトを倒さねば<br>俺という存在は認められない……<br>ゆえに、アイツを殺す。"""
text04001#0,"""戦場にヤツが現れるかもしれない。<br>早くしろ。出立だ！"""
text04002#0,"""待っていろ、オロチアギト……！"""
11_voice_NPC_5584_202#1,"""エルデトロスたちが<br>任務達成がどうのと言っていたが……<br>俺にはどうでもいい。"""
text06002#0,"""ヤツは常に戦場にいる。<br>戦場に行けば……<br>オロチアギトに会えるかもしれん。"""
11_voice_NPC_5584_201#0,"""外へ出る時は俺を連れていけ。<br>連れ出してくれる礼に<br>戦闘くらいは手伝ってやる。"""
Title#0,"""『PSO2es』について"""
text0001#0,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃをはじめとする<br>人気ウェポノイドたちが、期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べるアプリケーションです。<br>タッチとスライドの簡単操作で本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に、強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、ジェネやモアたちダーカーバスターズのほか<br>アフタル、リーン、ウェポノイドたち、魅力的な仲間と一緒に<br>宇宙をめぐる壮大な物語に旅立つことができます！"""
text0002#0,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと連動することができます。<br>データを連動させれば『ＰＳＯ２』のキャラクターを<br>そのまま使って遊ぶことができます。<br>無料で使える『ＰＳＯ２ｅｓ連動倉庫』や、経験値チケット<br>様々なレアアイテムなどが入手できます。<br>『ＰＳＯ２ｅｓ』を連動して遊ぶことで『ＰＳＯ２』を<br>いつでも、どこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして、フォルニスフィジスやアギト<br>エルデトロス、スペース・ツナたちに会いに行きましょう！<br>無限に広がる世界で、ダーカーバスターズのメンバーや<br>魅力的なウェポノイドたちがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
Title#1,"""『PSO2es』について"""
text0001#1,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃを<br>はじめとする人気ウェポノイドたちが<br>期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べる<br>アプリケーションです。<br>タッチとスライドの簡単操作で<br>本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に<br>強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、アフタルやリーン<br>ジェネやモアたちダーカーバスターズの仲間と<br>宇宙をめぐる壮大な物語に<br>旅立つことができます！"""
text0002#1,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと<br>連動することができます。<br>データを連動させれば『ＰＳＯ２』の<br>キャラクターをそのまま使って<br>遊ぶことができます。<br>無料で使える連動倉庫が使え<br>経験値チケットやレアアイテムが入手できます。<br>『ＰＳＯ２ｅｓ』を遊ぶことで『ＰＳＯ２』を<br>いつでもどこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>ウェポノイドたちに会いに行きましょう！<br>ダーカーバスターズのメンバーや<br>魅力的なウェポノイドがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
