name010#0,"""ガロア"""
text010#0,"""来たぞ！\u3000町を護るんだ！"""
Text_PA#0,"""フォトンアーツ（PA）："""
Text_TEC#0,"""テクニック："""
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""武器アクション："""
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""裏パレット\u3000"""
Text_ura_PA#0,"""裏パレットPA："""
Text_ura_TEC#0,"""裏パレットテクニック："""
xx1#0,"""<%WeaponAction_2><pict 4space>を押しながら<pict 4space><%NormalAttack>"""
xx2#0,"""裏パレットに切り替えて<pict 4space><%PhotonArts>"""
Text_item#0,"""アイテム使用："""
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""ロックオン："""
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""裏パレット切り替え："""
Text_ura_push#0,"""パレット切り替え："""
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space>を押したままにする"""
Button_ura_push#0,"""<%WeaponAction_2>"""
