IncidentName#0,"""制限時間以内に指定エネミーを殲滅せよ"""
TrialBeginMsg#0,"""制限時間以内に指定エネミーを殲滅せよ"""
TrialAbstract#0,"""制限時間以内に｢黒の民もどき｣を$(0)倒す"""
NpcComOnBegin#0,"""『禍津』により、模倣された黒の民が<br>生成されました。"""
NpcComOnBegin2#0,"""進行方向の大唱壁門破壊が目的と推測。<br>各員、目標時間以内に<br>生成された黒の民の撃破してください。"""
NpcComOnSuccess#0,"""生成された黒の民の消滅を確認。<br>各員、引き続き『禍津』との戦闘を<br>継続してください。"""
NpcComOnFailure#0,"""撃破目標時間を超過、失敗です。<br>生成された黒の民を撃破後<br>『禍津』との戦闘に復帰してください。"""
NpcComOnBegin#1,"""『禍津』により、模倣された黒の民が<br>生成されました。"""
NpcComOnBegin2#1,"""進行方向の大唱壁門破壊が目的と推測。<br>各員、目標時間以内に<br>生成された黒の民の撃破してください。"""
NpcComOnSuccess#1,"""生成された黒の民の消滅を確認。<br>各員、引き続き『禍津』との戦闘を<br>継続してください。"""
NpcComOnFailure#1,"""撃破目標時間を超過、失敗です。<br>生成された黒の民を撃破後<br>『禍津』との戦闘に復帰してください。"""
NpcComOnBegin#2,"""『禍津』により、模倣された黒の民が<br>生成されました。"""
NpcComOnBegin2#2,"""進行方向の大唱壁門破壊が目的と推測。<br>各員、目標時間以内に<br>生成された黒の民の撃破してください。"""
NpcComOnSuccess#2,"""生成された黒の民の消滅を確認。<br>各員、引き続き『禍津』との戦闘を<br>継続してください。"""
NpcComOnFailure#2,"""撃破目標時間を超過、失敗です。<br>生成された黒の民を撃破後<br>『禍津』との戦闘に復帰してください。"""
NpcComOnBegin#3,"""『禍津』の周囲から敵性反応。<br>スクナヒメが「黒の民もどき」と<br>呼称していた存在の模様。"""
NpcComOnBegin2#3,"""大唱壁門破壊が目的と推測。<br>各員、<red>目標時間以内<black>に該当の敵性反応を<br><red>殲滅<black>してください。"""
NpcComOnSuccess#3,"""「黒の民もどき」と呼称される<br>敵性反応の殲滅を確認。<br>引き続き、『禍津』侵攻の阻止を。"""
NpcComOnFailure#3,"""/face4 目標、失敗です。<br>残存する敵性反応を殲滅後、『禍津』の<br>侵攻阻止に向かってください。"""
